Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature
78,0,468.4524,1,936,1551,2975,4263,502,-12.8,200,0,0,470.659,1,2,735935.415144125,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
79,0,475.0068,1,936,1551,2975,4263,506,-8.3,200,0,0,476.7104,1,4,735935.415219986,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
80,0,479.6148,0,437,2761,2975,4263,511,-15,200,1,1,481.6033,1,0,735935.415273319,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
81,0,483.1824,1,437,2761,2975,4263,510,-8.3,200,1,1,486.9453,1,4,735935.415314611,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
82,0,489.004,1,936,1551,2975,4263,504,-8.3,200,0,0,490.7924,1,5,735935.415381991,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
83,0,494.1185,0,437,2761,2975,4263,503,-15,200,1,1,496.3212,1,1,735935.415441186,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
84,0,506.4648,0,936,1551,2975,4263,508,-8.3,200,0,0,507.261,1,0,735935.415584083,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
85,0,510.6885,1,437,2761,2975,4263,510,-12.8,200,1,0,512.9122,0,0,735935.415632969,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
86,1,516.7629,1,437,2761,2975,4263,510,-12.8,200,1,1,519.6763,1,0,735935.415703274,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
87,0,522.1538,1,437,2761,2975,4263,503,-10.5,200,1,1,527.0274,1,5,735935.415765669,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
88,0,531.0086,1,437,2761,2975,4263,501,-8.3,200,1,0,532.9195,0,2,735935.415868155,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
89,1,540.2783,1,437,2761,2975,4263,501,-8.3,200,1,0,541.8609,0,2,735935.415975443,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
90,1,543.795,0,437,2761,2975,4263,501,-8.3,200,1,0,544.7196,0,2,735935.416016146,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
91,1,551.298,0,437,2761,2975,4263,501,-8.3,200,1,0,552.1507,0,2,735935.416102986,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
92,1,555.3061,1,437,2761,2975,4263,501,-8.3,200,1,1,558.3785,1,2,735935.416149376,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
93,0,560.5059,0,936,1551,2975,4263,507,-10.5,200,0,0,561.3079,1,5,735935.416209559,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
94,0,564.4459,0,936,1551,2975,4263,508,-15,200,0,0,565.2301,1,0,735935.416255161,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
95,0,568.1382,1,936,1551,2975,4263,505,-12.8,200,0,0,569.8113,1,4,735935.416297896,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
96,0,579.163,0,437,2761,2975,4263,502,-10.5,200,1,1,580.7139,1,3,735935.416425498,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
97,0,582.868,0,936,1551,2975,4263,511,-10.5,200,0,0,583.7217,1,3,735935.41646838,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
98,0,587.1638,1,437,2761,2975,4263,504,-10.5,200,1,1,590.2061,1,0,735935.4165181,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
99,0,599.1433,1,437,2761,2975,4263,506,-12.8,200,1,0,601.6879,0,2,735935.416656751,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
100,1,604.2942,0,437,2761,2975,4263,506,-12.8,200,1,1,605.439,1,2,735935.416716368,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
101,0,610.4264,1,437,2761,2975,4263,508,-8.3,200,1,1,614.2396,1,1,735935.416787343,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
102,0,616.4662,1,936,1551,2975,4263,504,-8.3,200,0,0,618.8296,1,3,735935.416857248,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
103,0,622.0016,0,936,1551,2975,4263,501,-12.8,200,0,0,623.0338,1,1,735935.416921315,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
104,0,626.9631,1,936,1551,2975,4263,502,-10.5,200,0,0,629.0507,1,2,735935.41697874,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
105,0,633.3204,1,437,2761,2975,4263,507,-8.3,200,1,1,640.716,1,3,735935.41705232,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
106,0,646.1797,1,437,2761,2975,4263,506,-12.8,200,1,1,651.3533,1,3,735935.417201154,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
107,0,655.0207,0,437,2761,2975,4263,503,-12.8,200,1,0,655.9844,0,4,735935.41730348,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
108,1,658.7056,0,437,2761,2975,4263,503,-12.8,200,1,1,660.0998,1,4,735935.41734613,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
109,0,663.5142,1,437,2761,2975,4263,509,-10.5,200,1,1,666.0784,1,4,735935.417401785,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
110,0,674.9458,0,437,2761,2975,4263,510,-6,200,1,1,677.1167,1,2,735935.417534095,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
111,0,680.4905,1,936,1551,2975,4263,511,-15,200,0,0,682.4399,1,5,735935.41759827,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
112,0,685.5859,1,936,1551,2975,4263,505,-6,200,0,0,688.7196,1,4,735935.417657244,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
113,0,692.3712,1,437,2761,2975,4263,507,-15,200,1,1,696.1489,1,3,735935.417735778,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
114,0,702.976,1,437,2761,2975,4263,510,-8.3,200,1,1,706.0212,1,5,735935.417858519,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
115,0,708.1302,1,936,1551,2975,4263,502,-8.3,200,0,0,709.9036,1,1,735935.417918174,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
116,0,714.7559,1,936,1551,2975,4263,501,-12.8,200,0,1,718.5563,0,0,735935.41799486,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
117,1,721.8154,0,936,1551,2975,4263,501,-12.8,200,0,0,722.632,1,0,735935.418076567,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
118,0,725.8214,1,936,1551,2975,4263,508,-10.5,200,0,1,729.9899,0,1,735935.418122933,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
119,1,735.0879,1,936,1551,2975,4263,508,-10.5,200,0,0,736.956,1,1,735935.418230184,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
120,0,740.0363,1,936,1551,2975,4263,503,-8.3,200,0,0,741.9047,1,2,735935.418287457,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
121,0,744.846,1,936,1551,2975,4263,506,-6,200,0,0,747.0597,1,5,735935.418343125,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
122,0,750.6702,0,437,2761,2975,4263,511,-12.8,200,1,1,752.5439,1,5,735935.418410535,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
123,0,754.2476,0,936,1551,2975,4263,504,-15,200,0,1,756.096,0,3,735935.41845194,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
124,1,759.1846,1,936,1551,2975,4263,504,-15,200,0,0,761.5717,1,3,735935.418509081,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
125,0,764.972,0,936,1551,2975,4263,504,-12.8,200,0,0,765.9341,1,5,735935.418576065,02_12_2014 level23_spatial_Magnum 09_50 log.txt,37,37
