Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature
113,0,878.6585,0,730,2058,2857,4205,508,2.5,200,1,1,879.7559,1,5,736363.44079717,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
114,0,884.6174,0,730,2058,2857,4205,505,-3.5,200,1,1,885.9415,1,0,736363.440866139,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
115,0,894.9118,0,460,1105,2857,4205,501,-6.5,200,0,0,895.9898,1,0,736363.440985287,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
116,0,899.3432,0,460,1105,2857,4205,509,-12.5,200,0,0,900.4089,1,3,736363.441036576,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
117,0,903.7196,1,730,2058,2857,4205,510,-9.5,200,1,1,907.01,1,2,736363.441087229,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
118,0,911.4274,0,730,2058,2857,4205,511,-3.5,200,1,0,915.8345,0,1,736363.44117644,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
119,1,919.5991,0,730,2058,2857,4205,511,-3.5,200,1,1,920.9834,1,1,736363.44127102,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
120,0,930.2641,0,730,2058,2857,4205,503,-12.5,200,1,1,931.6638,1,5,736363.441394457,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
121,0,935.765,1,730,2058,2857,4205,502,2.5,200,1,1,940.0771,1,1,736363.441458125,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
122,0,944.4644,0,730,2058,2857,4205,507,-0.5,200,1,1,946.1409,1,3,736363.441558813,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
123,0,951.5777,0,730,2058,2857,4205,508,-9.5,200,1,1,953.0128,1,0,736363.441641142,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
124,0,957.5259,1,460,1105,2857,4205,501,-0.5,200,0,0,962.0449,1,0,736363.441709987,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
125,0,965.2362,1,730,2058,2857,4205,506,-9.5,200,1,0,968.7542,0,4,736363.441799227,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
126,1,975.0443,0,730,2058,2857,4205,506,-9.5,200,1,1,976.4182,1,4,736363.441912747,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
127,0,982.2738,0,460,1105,2857,4205,507,-0.5,200,0,1,983.6978,0,4,736363.441996421,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
128,1,988.3387,0,460,1105,2857,4205,507,-0.5,200,0,0,989.587,1,4,736363.442066617,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
129,0,993.4995,0,460,1105,2857,4205,503,-9.5,200,0,0,994.6758,1,1,736363.442126348,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
130,0,998.0591,0,460,1105,2857,4205,502,2.5,200,0,1,999.4813,0,5,736363.442179122,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
131,1,1003.1221,0,460,1105,2857,4205,502,2.5,200,0,1,1004.6474,0,5,736363.442237721,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
132,1,1010.9135,0,460,1105,2857,4205,502,2.5,200,0,0,1011.9954,1,5,736363.442327899,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
133,0,1016.0258,0,460,1105,2857,4205,510,2.5,200,0,1,1017.3879,0,3,736363.442387069,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
134,1,1026.3249,1,460,1105,2857,4205,510,2.5,200,0,0,1030.2534,1,3,736363.442506272,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
135,0,1033.9148,0,460,1105,2857,4205,511,-12.5,200,0,0,1035.2294,1,5,736363.442594118,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
136,0,1038.7052,1,460,1105,2857,4205,505,-9.5,200,0,1,1042.0068,0,4,736363.442649562,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
137,1,1045.7737,0,460,1105,2857,4205,505,-9.5,200,0,0,1046.9724,1,4,736363.442731374,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
138,0,1050.5422,1,460,1105,2857,4205,504,-3.5,200,0,1,1053.6527,0,2,736363.442786565,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
139,1,1057.8922,0,460,1105,2857,4205,504,-3.5,200,0,1,1059.2098,0,2,736363.442871634,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
140,1,1064.9071,0,460,1105,2857,4205,504,-3.5,200,0,0,1065.9656,1,2,736363.442952825,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
141,0,1069.7384,0,460,1105,2857,4205,509,-3.5,200,0,1,1071.5292,0,0,736363.443008743,03_02_2016 level23_spatial_Robin 10_20_06.217 log.txt,37,37
