Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,Mask,originalFile,LeftTemperature,RightTemperature
47,0,344.6583,0,437,2761,2975,4263,726,-13.8,200,0,1,345.1628,0,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
48,1,354.6195,0,437,2761,2975,4263,726,-13.8,200,0,1,355.4601,0,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
49,1,361.508,0,437,2761,2975,4263,726,-13.8,200,0,0,361.798,1,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
50,0,366.5752,0,936,1551,2975,4263,651,-13.8,200,1,1,367.3285,1,5,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
51,0,373.9321,0,437,2761,2975,4263,551,-15.0,200,0,0,374.3429,1,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
52,0,379.5887,0,437,2761,2975,4263,701,-12.5,200,0,0,379.957,1,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
53,0,384.7856,0,936,1551,2975,4263,651,-13.8,200,1,1,385.4254,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
54,0,391.911,0,437,2761,2975,4263,551,-12.5,200,0,0,392.2111,1,2,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
55,0,397.6348,0,936,1551,2975,4263,576,-12.5,200,1,1,398.146,1,0,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
56,0,404.8854,0,936,1551,2975,4263,626,-15.0,200,1,0,405.7742,0,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
57,1,414.6593,1,936,1551,2975,4263,626,-15.0,200,1,1,415.2508,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
58,0,421.8559,0,437,2761,2975,4263,676,-10.0,200,0,0,423.412,1,1,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
59,0,429.3091,1,936,1551,2975,4263,726,-10.0,200,1,1,429.8141,1,3,,27_11_2014 level23_spatial_Mini 09_32 log.txt,37,37
