Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,SpatialCondition,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,VowelLocation
1,3.3544,1,936,1551,2975,4263,510,-6.0,200,1,0,4.6528,0,2,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
3,17.8961,0,437,2761,2975,4263,506,-13.0,200,0,0,19.1661,1,4,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,70.0,3.0,2014-10-31,False,left
4,21.3892,0,437,2761,2975,4263,501,-15.0,200,0,0,23.0353,1,5,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,72.0,5.0,2014-10-31,False,right
5,29.9223,0,936,1551,2975,4263,503,-15.0,200,1,1,32.4956,1,1,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,72.0,5.0,2014-10-31,False,right
6,34.5084,0,437,2761,2975,4263,508,-15.0,200,0,1,35.3946,0,3,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,72.0,5.0,2014-10-31,False,right
9,54.8464,1,437,2761,2975,4263,502,-15.0,200,0,0,58.0963,1,2,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,72.0,5.0,2014-10-31,False,left
10,62.9429,0,936,1551,2975,4263,511,-13.0,200,1,1,64.244,1,4,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,70.0,3.0,2014-10-31,False,left
11,66.1685,0,437,2761,2975,4263,507,-6.0,200,0,1,68.2312,0,2,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
14,85.3508,0,437,2761,2975,4263,504,-6.0,200,0,0,86.6336,1,3,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,right
15,92.7458,0,437,2761,2975,4263,509,-10.0,200,0,0,93.7315,1,2,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,67.0,0.0,2014-10-31,False,left
16,100.6173,1,936,1551,2975,4263,504,-13.0,200,1,0,110.1526,0,2,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,70.0,3.0,2014-10-31,False,left
18,119.1366,0,437,2761,2975,4263,507,-6.0,200,0,0,120.2396,1,4,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
19,123.7667,0,936,1551,2975,4263,502,-10.0,200,1,0,124.8665,0,5,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,67.0,0.0,2014-10-31,False,right
22,138.4264,1,437,2761,2975,4263,511,-15.0,200,0,1,142.0537,0,1,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,72.0,5.0,2014-10-31,False,right
24,152.091,0,437,2761,2975,4263,503,-8.0,200,0,0,153.2746,1,5,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,right
25,157.3422,0,437,2761,2975,4263,509,-10.0,200,0,0,158.4851,1,4,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,67.0,0.0,2014-10-31,False,left
26,161.0326,1,437,2761,2975,4263,508,-15.0,200,0,0,163.707,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,72.0,5.0,2014-10-31,False,left
27,168.2578,1,936,1551,2975,4263,506,-13.0,200,1,0,170.6109,0,3,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,70.0,3.0,2014-10-31,False,right
30,184.8878,1,936,1551,2975,4263,505,-8.0,200,1,1,187.2922,1,2,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,left
31,189.6214,0,936,1551,2975,4263,510,-10.0,200,1,1,190.8529,1,3,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,67.0,0.0,2014-10-31,False,right
32,195.1455,1,936,1551,2975,4263,509,-15.0,200,1,0,200.9125,0,2,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,72.0,5.0,2014-10-31,False,left
34,210.5632,0,936,1551,2975,4263,501,-6.0,200,1,1,212.0523,1,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,left
35,215.6944,0,437,2761,2975,4263,507,-8.0,200,0,1,217.6537,0,2,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,left
37,226.0477,0,437,2761,2975,4263,505,-8.0,200,0,1,228.6516,0,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,left
40,240.5829,1,936,1551,2975,4263,511,-6.0,200,1,0,243.0697,0,1,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,right
42,250.5758,0,936,1551,2975,4263,504,-8.0,200,1,1,251.7495,1,5,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,right
43,256.2969,1,936,1551,2975,4263,510,-10.0,200,1,0,258.6003,0,2,separated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,67.0,0.0,2014-10-31,False,left
45,267.5238,1,936,1551,2975,4263,506,-8.0,200,1,0,270.4612,0,4,single_speaker,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,left
