Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,SpatialCondition,VowelLocation
85,824.9219,0,730,2058,2857,4205,801,10.0,200,1,1,825.8897,1,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,right
86,839.0924,0,460,1105,2857,4205,651,10.0,200,0,0,839.5327,1,2,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,left
87,844.7516,0,460,1105,2857,4205,851,10.0,200,0,0,845.1312,1,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,right
88,851.5101,0,730,2058,2857,4205,751,10.0,200,1,0,853.1066,0,3,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,right
90,880.0746,0,460,1105,2857,4205,951,10.0,200,0,0,880.5295,1,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,right
91,885.4924,1,460,1105,2857,4205,601,10.0,200,0,0,885.9921,1,0,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,left
92,891.8376,0,730,2058,2857,4205,901,10.0,200,1,0,892.3625,0,5,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,single_speaker,right
94,914.4336,0,730,2058,2857,4205,1001,10.0,200,1,0,915.0779,0,1,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,right
97,947.1121,0,730,2058,2857,4205,501,10.0,200,1,1,948.2306,1,1,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,colocated,right
98,959.5703,0,460,1105,2857,4205,551,10.0,200,0,0,959.9769,1,3,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,right
99,967.0343,0,730,2058,2857,4205,801,10.0,200,1,0,967.5647,0,3,01_04_2015 level23_spatial_F+V 14_59 Block9-8.txt,37,37,1203,47.0,-20.0,2015-04-01,False,separated,right
1,9.7746,0,730,2058,2857,4205,701,10.0,200,1,1,10.4443,1,4,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,left
2,13.6143,0,460,1105,2857,4205,1001,10.0,200,0,1,14.2996,0,2,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,left
5,45.5073,0,460,1105,2857,4205,751,10.0,200,0,0,46.3423,1,2,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,left
6,54.8681,0,460,1105,2857,4205,601,10.0,200,0,0,55.7958,1,5,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,right
7,67.4449,0,730,2058,2857,4205,901,10.0,200,1,1,67.8081,1,3,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,right
8,71.065,0,730,2058,2857,4205,951,10.0,200,1,1,71.7122,1,1,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,right
9,73.2842,0,730,2058,2857,4205,801,10.0,200,1,0,74.2933,0,1,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,right
13,106.1458,0,730,2058,2857,4205,551,10.0,200,1,1,107.2485,1,4,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,left
14,113.0945,0,730,2058,2857,4205,501,10.0,200,1,1,114.2632,1,1,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,right
15,122.0975,0,460,1105,2857,4205,651,10.0,200,0,1,122.7112,0,1,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,right
17,136.8953,0,730,2058,2857,4205,701,10.0,200,1,1,137.4782,1,5,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,right
18,145.2108,0,730,2058,2857,4205,1001,10.0,200,1,1,145.8223,1,4,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,left
19,159.579,0,460,1105,2857,4205,851,10.0,200,0,0,160.1704,1,4,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,left
20,168.454,0,460,1105,2857,4205,601,10.0,200,0,1,169.1507,0,1,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,right
23,199.5219,0,460,1105,2857,4205,651,10.0,200,0,0,200.5701,1,0,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,left
24,210.9579,0,460,1105,2857,4205,901,10.0,200,0,0,211.7014,1,5,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,right
25,223.8178,0,730,2058,2857,4205,751,10.0,200,1,1,224.4225,1,2,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,left
26,227.9994,0,730,2058,2857,4205,551,10.0,200,1,1,228.3891,1,0,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,left
27,238.0063,0,460,1105,2857,4205,801,10.0,200,0,0,239.0242,1,3,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,right
28,249.4032,0,730,2058,2857,4205,951,10.0,200,1,1,250.1649,1,3,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,right
29,258.9941,0,730,2058,2857,4205,901,10.0,200,1,1,259.8882,1,3,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,right
30,268.5532,0,730,2058,2857,4205,501,10.0,200,1,1,269.5909,1,0,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,left
31,272.0163,0,730,2058,2857,4205,551,10.0,200,1,1,272.9325,1,0,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,left
32,281.7528,0,460,1105,2857,4205,951,10.0,200,0,0,282.2527,1,0,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,left
33,291.881,0,460,1105,2857,4205,651,10.0,200,0,1,292.9606,0,0,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,left
35,311.9637,0,730,2058,2857,4205,801,10.0,200,1,1,312.8059,1,5,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,right
36,317.5229,0,730,2058,2857,4205,1001,10.0,200,1,1,318.1751,1,5,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,right
37,325.948,0,460,1105,2857,4205,701,10.0,200,0,1,326.878,0,5,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,right
39,345.2609,0,730,2058,2857,4205,851,10.0,200,1,1,346.0391,1,2,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,left
40,351.753,0,460,1105,2857,4205,751,10.0,200,0,1,352.6893,0,2,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,left
42,373.6799,0,730,2058,2857,4205,1001,10.0,200,1,1,374.5112,1,2,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,left
43,382.8963,0,460,1105,2857,4205,551,10.0,200,0,1,383.7045,0,3,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,right
45,404.428,0,460,1105,2857,4205,751,10.0,200,0,1,405.3129,0,3,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,right
48,430.9486,0,460,1105,2857,4205,951,10.0,200,0,0,431.7472,1,1,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,right
49,440.2084,0,460,1105,2857,4205,901,10.0,200,0,0,440.9652,1,4,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,left
50,452.3327,0,460,1105,2857,4205,651,10.0,200,0,0,452.9977,1,4,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,left
51,463.6459,0,460,1105,2857,4205,701,10.0,200,0,1,464.2805,0,0,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,left
54,494.8464,1,460,1105,2857,4205,801,10.0,200,0,0,496.353,1,4,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,single_speaker,left
55,499.0132,0,460,1105,2857,4205,501,10.0,200,0,1,500.7279,0,1,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,colocated,right
57,525.8382,0,460,1105,2857,4205,601,10.0,200,0,0,527.0328,1,3,30_09_2014 level23_spatial_F+V 10_33 Block6-90.txt,37,37,1203,47.0,-20.0,2014-09-30,False,separated,right
