Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,UniversalStartTime,originalFile,LeftTemperature,RightTemperature,fNum,day,meanTemp,treatment,vowel_level,SNR,SpatialCondition,VowelLocation
71,605.9045,1,730,2058,2857,4205,502,2.5,200,1,1,609.4665,1,0,736350.356957552,21_01_2016 level23_spatial_Robin 08_23_55.228 log.txt,37.0,37.0,1509,2016-01-21,37.0,False,54.5,-12.5,colocated,left
62,475.6658,0,730,2058,2857,4205,506,2.5,200,1,1,476.9753,1,0,736405.438531873,16_03_2016 level23_spatial_Robin 10_23_33.488 log.txt,37.0,37.0,1509,2016-03-16,37.0,False,54.5,-12.5,colocated,left
15,99.2138,1,730,2058,2857,4205,505,2.5,200,1,0,99.2488,0,0,736364.351551028,04_02_2016 level23_spatial_Robin 08_24_34.795 log.txt,37.0,37.0,1509,2016-02-04,37.0,False,54.5,-12.5,colocated,left
67,606.0089,0,460,1105,2857,4205,503,2.5,200,0,0,607.3816,1,1,736406.356282881,17_03_2016 level23_spatial_Robin 08_22_56.832 log.txt,37.0,37.0,1509,2016-03-17,37.0,False,54.5,-12.5,colocated,right
103,731.6879,0,460,1105,2857,4205,508,2.5,200,0,0,733.1046,1,1,736405.441495092,16_03_2016 level23_spatial_Robin 10_23_33.488 log.txt,37.0,37.0,1509,2016-03-16,37.0,False,54.5,-12.5,colocated,right
72,708.0719,0,460,1105,2857,4205,510,2.5,200,0,1,711.7613,0,1,736414.376213946,25_03_2016 level23_spatial_Robin 08_49_56.813 log.txt,37.0,37.0,1509,2016-03-25,37.0,False,54.5,-12.5,colocated,right
53,598.882,0,460,1105,2857,4205,505,2.5,200,0,0,600.177,1,1,736412.366594387,23_03_2016 level23_spatial_Robin 08_37_54.873 log.txt,37.0,37.0,1509,2016-03-23,37.0,False,54.5,-12.5,colocated,right
70,585.4515,0,460,1105,2857,4205,503,2.5,200,0,0,586.5958,1,1,736364.357178779,04_02_2016 level23_spatial_Robin 08_24_34.795 log.txt,37.0,37.0,1509,2016-02-04,37.0,False,54.5,-12.5,colocated,right
38,630.0289,1,460,1105,2857,4205,506,2.5,200,0,1,633.1532,0,1,736355.359311422,26_01_2016 level23_spatial_Robin 08_26_54.478 log.txt,37.0,37.0,1509,2016-01-26,37.0,False,54.5,-12.5,colocated,right
1,153.2987,0,460,1105,2857,4205,503,2.5,200,0,0,155.2914,1,1,736413.349732948,24_03_2016 level23_spatial_Robin 08_21_03.628 log.txt,37.0,37.0,1509,2016-03-24,37.0,False,54.5,-12.5,colocated,right
