SpatialCondition,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
colocated,False,-10.0,364,283,77.74725274725274,27
colocated,False,-5.0,364,248,68.13186813186813,27
separated,False,-20.0,364,216,59.34065934065934,27
separated,False,-10.0,364,281,77.1978021978022,27
separated,False,-5.0,364,257,70.6043956043956,27
single_speaker,False,-20.0,364,267,73.35164835164835,27
single_speaker,False,-10.0,364,330,90.65934065934066,27
single_speaker,False,-5.0,364,313,85.98901098901099,27
colocated,False,-20.0,364,218,59.89010989010989,28
colocated,False,-10.0,364,286,78.57142857142857,28
colocated,False,-5.0,364,240,65.93406593406593,28
separated,False,-20.0,364,232,63.73626373626373,28
separated,False,-10.0,364,256,70.32967032967034,28
separated,False,-5.0,364,264,72.52747252747253,28
single_speaker,False,-20.0,364,274,75.27472527472527,28
single_speaker,False,-10.0,364,336,92.3076923076923,28
single_speaker,False,-5.0,364,320,87.91208791208791,28
colocated,False,-20.0,364,227,62.362637362637365,29
colocated,False,-10.0,364,280,76.92307692307693,29
colocated,False,-5.0,364,231,63.46153846153846,29
separated,False,-20.0,364,225,61.81318681318682,29
separated,False,-10.0,364,288,79.12087912087912,29
separated,False,-5.0,364,273,75.0,29
single_speaker,False,-20.0,364,279,76.64835164835165,29
single_speaker,False,-10.0,364,325,89.28571428571429,29
single_speaker,False,-5.0,364,309,84.89010989010988,29
colocated,False,-20.0,364,218,59.89010989010989,30
colocated,False,-10.0,364,288,79.12087912087912,30
colocated,False,-5.0,364,232,63.73626373626373,30
separated,False,-20.0,364,228,62.637362637362635,30
separated,False,-10.0,364,288,79.12087912087912,30
separated,False,-5.0,364,265,72.8021978021978,30
single_speaker,False,-20.0,364,278,76.37362637362637,30
single_speaker,False,-10.0,364,322,88.46153846153845,30
single_speaker,False,-5.0,364,318,87.36263736263736,30
colocated,False,-20.0,364,220,60.43956043956044,31
colocated,False,-10.0,364,292,80.21978021978022,31
colocated,False,-5.0,364,257,70.6043956043956,31
separated,False,-20.0,364,235,64.56043956043956,31
separated,False,-10.0,364,266,73.07692307692307,31
separated,False,-5.0,364,270,74.17582417582418,31
single_speaker,False,-20.0,364,277,76.0989010989011,31
single_speaker,False,-10.0,364,328,90.10989010989012,31
single_speaker,False,-5.0,364,321,88.18681318681318,31
colocated,False,-20.0,364,218,59.89010989010989,32
colocated,False,-10.0,364,290,79.67032967032966,32
colocated,False,-5.0,364,237,65.10989010989012,32
separated,False,-20.0,364,215,59.065934065934066,32
separated,False,-10.0,364,279,76.64835164835165,32
separated,False,-5.0,364,265,72.8021978021978,32
single_speaker,False,-20.0,364,269,73.9010989010989,32
single_speaker,False,-10.0,364,322,88.46153846153845,32
single_speaker,False,-5.0,364,316,86.81318681318682,32
colocated,False,-20.0,364,217,59.61538461538461,33
colocated,False,-10.0,364,260,71.42857142857143,33
colocated,False,-5.0,364,241,66.20879120879121,33
separated,False,-20.0,364,235,64.56043956043956,33
separated,False,-10.0,364,298,81.86813186813187,33
separated,False,-5.0,364,253,69.5054945054945,33
single_speaker,False,-20.0,364,271,74.45054945054946,33
single_speaker,False,-10.0,364,323,88.73626373626374,33
single_speaker,False,-5.0,364,318,87.36263736263736,33
colocated,False,-20.0,364,204,56.043956043956044,34
colocated,False,-10.0,364,269,73.9010989010989,34
colocated,False,-5.0,364,233,64.01098901098901,34
separated,False,-20.0,364,243,66.75824175824175,34
separated,False,-10.0,364,269,73.9010989010989,34
separated,False,-5.0,364,261,71.7032967032967,34
single_speaker,False,-20.0,364,253,69.5054945054945,34
single_speaker,False,-10.0,364,324,89.01098901098901,34
single_speaker,False,-5.0,364,313,85.98901098901099,34
colocated,False,-20.0,364,226,62.08791208791209,35
colocated,False,-10.0,364,273,75.0,35
colocated,False,-5.0,364,245,67.3076923076923,35
separated,False,-20.0,364,212,58.24175824175825,35
separated,False,-10.0,364,271,74.45054945054946,35
separated,False,-5.0,364,254,69.78021978021978,35
single_speaker,False,-20.0,364,274,75.27472527472527,35
single_speaker,False,-10.0,364,335,92.03296703296702,35
single_speaker,False,-5.0,364,325,89.28571428571429,35
colocated,False,-20.0,364,216,59.34065934065934,36
colocated,False,-10.0,364,277,76.0989010989011,36
colocated,False,-5.0,364,233,64.01098901098901,36
separated,False,-20.0,364,228,62.637362637362635,36
separated,False,-10.0,364,272,74.72527472527473,36
separated,False,-5.0,364,273,75.0,36
single_speaker,False,-20.0,364,265,72.8021978021978,36
single_speaker,False,-10.0,364,333,91.48351648351648,36
single_speaker,False,-5.0,364,312,85.71428571428571,36
colocated,False,-20.0,364,221,60.71428571428571,37
colocated,False,-10.0,364,270,74.17582417582418,37
colocated,False,-5.0,364,242,66.48351648351648,37
separated,False,-20.0,364,233,64.01098901098901,37
separated,False,-10.0,364,275,75.54945054945054,37
separated,False,-5.0,364,261,71.7032967032967,37
single_speaker,False,-20.0,364,278,76.37362637362637,37
single_speaker,False,-10.0,364,318,87.36263736263736,37
single_speaker,False,-5.0,364,313,85.98901098901099,37
colocated,False,-20.0,364,225,61.81318681318682,38
colocated,False,-10.0,364,275,75.54945054945054,38
colocated,False,-5.0,364,241,66.20879120879121,38
separated,False,-20.0,364,220,60.43956043956044,38
separated,False,-10.0,364,279,76.64835164835165,38
separated,False,-5.0,364,278,76.37362637362637,38
single_speaker,False,-20.0,364,266,73.07692307692307,38
single_speaker,False,-10.0,364,322,88.46153846153845,38
single_speaker,False,-5.0,364,305,83.79120879120879,38
colocated,False,-20.0,364,223,61.26373626373627,39
colocated,False,-10.0,364,273,75.0,39
colocated,False,-5.0,364,240,65.93406593406593,39
separated,False,-20.0,364,222,60.98901098901099,39
separated,False,-10.0,364,272,74.72527472527473,39
separated,False,-5.0,364,267,73.35164835164835,39
single_speaker,False,-20.0,364,292,80.21978021978022,39
single_speaker,False,-10.0,364,330,90.65934065934066,39
single_speaker,False,-5.0,364,316,86.81318681318682,39
colocated,False,-20.0,364,226,62.08791208791209,40
colocated,False,-10.0,364,280,76.92307692307693,40
colocated,False,-5.0,364,238,65.38461538461539,40
