Trial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,SpatialMask,SpatialCondition,originalFile,LeftTemperature,RightTemperature,fNum,vowel_level,SNR,day,treatment,VowelLocation
2,156.4595,0,437,2761,2975,4263,508,-6.0,200,0,0,157.7945,1,1,colocated,20_12_2013 level23_spatial_Mini 09_02 log.txt,37,37,1216,63.0,-4.0,2013-12-20,False,right
11,57.8663,0,437,2761,2975,4263,501,-6.0,200,0,1,58.6828,0,1,colocated,09_07_2014 level23_spatial_Mini 14_31 log.txt,37,37,1216,63.0,-4.0,2014-07-09,False,right
84,652.8934,1,437,2761,2975,4263,504,-6.0,200,0,0,656.8809,1,1,colocated,09_04_2014 level23_spatial_Mini 13_52 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,right
20,268.8045,0,437,2761,2975,4263,507,-6.0,200,0,0,275.1514,1,1,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,right
35,259.1388,1,437,2761,2975,4263,505,-6.0,200,0,1,261.5892,0,1,colocated,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37,1216,63.0,-4.0,2014-04-10,False,right
5,104.1771,0,437,2761,2975,4263,502,-6.0,200,0,1,108.8723,0,1,colocated,13_03_2014 level23_spatial_Mini 08_35 log.txt,37,37,1216,63.0,-4.0,2014-03-13,False,right
57,351.6461,1,437,2761,2975,4263,506,-6.0,200,0,0,354.5773,1,1,colocated,31_10_2014 level23_spatial_Mini 14_15 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,right
11,63.571,1,437,2761,2975,4263,509,-6.0,200,0,0,67.086,1,1,colocated,17_11_2014 level23_spatial_Mini 15_46 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,right
26,921.2128,1,437,2761,2975,4263,502,-6.0,200,0,1,923.4267,0,1,colocated,25_04_2014 level23_spatial_Mini 10_51 log.txt,37,37,1216,63.0,-4.0,2014-04-25,False,right
103,890.506,0,437,2761,2975,4263,505,-6.0,200,0,1,891.4412,0,1,colocated,08_08_2014 level23_spatial_Mini 15_09 log.txt,37,37,1216,63.0,-4.0,2014-08-08,False,right
103,890.506,0,437,2761,2975,4263,505,-6.0,200,0,1,891.4412,0,1,colocated,08_08_2014 level23_spatial_Mini 15_09 log.txt,37,37,1216,63.0,-4.0,2014-08-08,False,right
56,375.0762,0,437,2761,2975,4263,506,-6.0,200,0,0,376.5646,1,1,colocated,11_03_2014 level23_spatial_Mini 10_12 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,right
10,74.2785,0,437,2761,2975,4263,503,-6.0,200,0,1,75.2653,0,1,colocated,11_03_2014 level23_spatial_Mini 17_07 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,right
42,248.2661,0,437,2761,2975,4263,503,-6.0,200,0,1,249.4188,0,1,colocated,14_03_2014 level23_spatial_Mini 15_38 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,right
12,1088.5865,1,437,2761,2975,4263,502,-6.0,200,0,0,1091.7109,1,1,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,right
56,375.0762,0,437,2761,2975,4263,506,-6.0,200,0,0,376.5646,1,1,colocated,11_03_2014 level23_spatial_Mini 10_12 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,right
11,63.571,1,437,2761,2975,4263,509,-6.0,200,0,0,67.086,1,1,colocated,17_11_2014 level23_spatial_Mini 15_46 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,right
20,268.8045,0,437,2761,2975,4263,507,-6.0,200,0,0,275.1514,1,1,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,right
49,448.4574,0,437,2761,2975,4263,502,-6.0,200,0,1,449.1064,0,1,colocated,19_11_2014 level23_spatial_Mini 13_54 log.txt,37,37,1216,63.0,-4.0,2014-11-19,False,right
92,1016.5495,0,437,2761,2975,4263,506,-6.0,200,0,0,1021.9621,1,1,colocated,20_12_2013 level23_spatial_Mini 09_02 log.txt,37,37,1216,63.0,-4.0,2013-12-20,False,right
57,351.6461,1,437,2761,2975,4263,506,-6.0,200,0,0,354.5773,1,1,colocated,31_10_2014 level23_spatial_Mini 14_15 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,right
84,652.8934,1,437,2761,2975,4263,504,-6.0,200,0,0,656.8809,1,1,colocated,09_04_2014 level23_spatial_Mini 13_52 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,right
9,202.6821,1,437,2761,2975,4263,509,-6.0,200,0,1,205.4458,0,1,colocated,08_08_2014 level23_spatial_Mini 15_09 log.txt,37,37,1216,63.0,-4.0,2014-08-08,False,right
9,51.2213,0,437,2761,2975,4263,508,-6.0,200,0,1,51.8234,0,1,colocated,23_04_2014 level23_spatial_Mini 15_38 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,right
201,1034.8364,0,437,2761,2975,4263,505,-6.0,200,0,1,1035.9295,0,1,colocated,13_03_2014 level23_spatial_Mini 16_17 log.txt,37,37,1216,63.0,-4.0,2014-03-13,False,right
35,259.1388,1,437,2761,2975,4263,505,-6.0,200,0,1,261.5892,0,1,colocated,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37,1216,63.0,-4.0,2014-04-10,False,right
77,390.075,1,437,2761,2975,4263,511,-6.0,200,0,1,392.6248,0,1,colocated,08_07_2014 level23_spatial_Mini 17_43 log.txt,37,37,1216,63.0,-4.0,2014-07-08,False,right
108,712.516,1,437,2761,2975,4263,501,-6.0,200,0,1,713.4703,0,1,colocated,04_02_2014 level23_spatial_Mini 10_44 log.txt,37,37,1216,63.0,-4.0,2014-02-04,False,right
68,612.3121,1,936,1551,2975,4263,502,-6.0,200,1,1,614.4771,1,1,colocated,08_08_2014 level23_spatial_Mini 15_09 log.txt,37,37,1216,63.0,-4.0,2014-08-08,False,right
108,849.2244,0,936,1551,2975,4263,504,-6.0,200,1,0,850.5409,0,1,colocated,17_11_2014 level23_spatial_Mini 10_07 log.txt,37,37,1216,63.0,-4.0,2014-11-17,False,right
97,638.1221,0,936,1551,2975,4263,502,-6.0,200,1,1,638.9324,1,1,colocated,04_02_2014 level23_spatial_Mini 10_44 log.txt,37,37,1216,63.0,-4.0,2014-02-04,False,right
88,909.9904,0,936,1551,2975,4263,506,-6.0,200,1,0,910.6704,0,1,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,right
13,168.3244,1,936,1551,2975,4263,511,-6.0,200,1,0,169.1694,0,1,colocated,31_03_2014 level23_spatial_Mini 15_41 log.txt,37,37,1216,63.0,-4.0,2014-03-31,False,right
25,193.8833,0,936,1551,2975,4263,502,-6.0,200,1,0,195.2509,0,1,colocated,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37,1216,63.0,-4.0,2014-04-10,False,right
8,44.9952,0,936,1551,2975,4263,509,-6.0,200,1,1,45.3626,1,1,colocated,09_07_2014 level23_spatial_Mini 14_31 log.txt,37,37,1216,63.0,-4.0,2014-07-09,False,right
20,116.3282,0,936,1551,2975,4263,505,-6.0,200,1,1,118.2865,1,1,colocated,10_07_2014 level23_spatial_Mini 14_03 log.txt,37,37,1216,63.0,-4.0,2014-07-10,False,right
5,42.8446,1,936,1551,2975,4263,502,-6.0,200,1,1,45.6712,1,1,colocated,11_03_2014 level23_spatial_Mini 17_07 log.txt,37,37,1216,63.0,-4.0,2014-03-11,False,right
66,445.5962,1,936,1551,2975,4263,507,-6.0,200,1,1,447.3328,1,1,colocated,14_03_2014 level23_spatial_Mini 10_20 log.txt,37,37,1216,63.0,-4.0,2014-03-14,False,right
37,1251.4158,1,936,1551,2975,4263,501,-6.0,200,1,1,1252.145,1,1,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,right
47,512.2832,1,936,1551,2975,4263,510,-6.0,200,1,1,513.8151,1,1,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,right
13,168.3244,1,936,1551,2975,4263,511,-6.0,200,1,0,169.1694,0,1,colocated,31_03_2014 level23_spatial_Mini 15_41 log.txt,37,37,1216,63.0,-4.0,2014-03-31,False,right
116,1143.4738,1,936,1551,2975,4263,501,-6.0,200,1,1,1144.2082,1,1,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,right
47,512.2832,1,936,1551,2975,4263,510,-6.0,200,1,1,513.8151,1,1,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,right
40,240.5829,1,936,1551,2975,4263,511,-6.0,200,1,0,243.0697,0,1,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,right
37,1251.4158,1,936,1551,2975,4263,501,-6.0,200,1,1,1252.145,1,1,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,right
62,388.3592,0,936,1551,2975,4263,507,-6.0,200,1,1,389.8393,1,1,colocated,09_04_2014 level23_spatial_Mini 09_15 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,right
116,1143.4738,1,936,1551,2975,4263,501,-6.0,200,1,1,1144.2082,1,1,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,right
2,176.6041,0,936,1551,2975,4263,510,-6.0,200,1,1,177.5211,1,1,colocated,09_04_2014 level23_spatial_Mini 13_52 log.txt,37,37,1216,63.0,-4.0,2014-04-09,False,right
6,40.3287,0,936,1551,2975,4263,503,-6.0,200,1,1,43.2854,1,1,colocated,31_10_2014 level23_spatial_Mini 14_15 log.txt,37,37,1216,63.0,-4.0,2014-10-31,False,right
25,193.8833,0,936,1551,2975,4263,502,-6.0,200,1,0,195.2509,0,1,colocated,10_04_2014 level23_spatial_Mini 14_53 log.txt,37,37,1216,63.0,-4.0,2014-04-10,False,right
41,280.5241,0,936,1551,2975,4263,507,-6.0,200,1,1,281.1261,1,1,colocated,04_02_2014 level23_spatial_Mini 10_44 log.txt,37,37,1216,63.0,-4.0,2014-02-04,False,right
116,1143.4738,1,936,1551,2975,4263,501,-6.0,200,1,1,1144.2082,1,1,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,63.0,-4.0,2014-04-23,False,right
37,1251.4158,1,936,1551,2975,4263,501,-6.0,200,1,1,1252.145,1,1,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,63.0,-4.0,2014-04-24,False,right
20,116.3282,0,936,1551,2975,4263,505,-6.0,200,1,1,118.2865,1,1,colocated,10_07_2014 level23_spatial_Mini 14_03 log.txt,37,37,1216,63.0,-4.0,2014-07-10,False,right
88,909.9904,0,936,1551,2975,4263,506,-6.0,200,1,0,910.6704,0,1,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,63.0,-4.0,2013-12-13,False,right
58,512.7635,0,936,1551,2975,4263,511,-6.0,200,1,0,513.6087,0,1,colocated,19_11_2014 level23_spatial_Mini 13_54 log.txt,37,37,1216,63.0,-4.0,2014-11-19,False,right
9,75.5985,0,936,1551,2975,4263,505,-6.0,200,1,1,76.8067,1,1,colocated,24_03_2014 level23_spatial_Mini 14_04 log.txt,37,37,1216,63.0,-4.0,2014-03-24,False,right
69,389.9169,0,437,2761,2975,4263,507,-8.0,200,0,0,391.3459,1,0,colocated,11_03_2014 level23_spatial_Mini 17_07 log.txt,37,37,1216,65.0,-2.0,2014-03-11,False,left
89,961.3918,1,437,2761,2975,4263,502,-8.0,200,0,0,962.5075,1,0,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,65.0,-2.0,2014-04-23,False,left
140,1077.1979,1,437,2761,2975,4263,509,-8.0,200,0,0,1079.7643,1,0,colocated,17_11_2014 level23_spatial_Mini 10_07 log.txt,37,37,1216,65.0,-2.0,2014-11-17,False,left
16,225.77,0,437,2761,2975,4263,509,-8.0,200,0,1,227.1772,0,0,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,65.0,-2.0,2013-12-13,False,left
53,328.7608,1,437,2761,2975,4263,507,-8.0,200,0,1,334.9638,0,0,colocated,23_04_2014 level23_spatial_Mini 15_38 log.txt,37,37,1216,65.0,-2.0,2014-04-23,False,left
36,304.9767,0,437,2761,2975,4263,508,-8.0,200,0,1,305.7935,0,0,colocated,31_03_2014 level23_spatial_Mini 15_41 log.txt,37,37,1216,65.0,-2.0,2014-03-31,False,left
89,961.3918,1,437,2761,2975,4263,502,-8.0,200,0,0,962.5075,1,0,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,65.0,-2.0,2014-04-23,False,left
140,1077.1979,1,437,2761,2975,4263,509,-8.0,200,0,0,1079.7643,1,0,colocated,17_11_2014 level23_spatial_Mini 10_07 log.txt,37,37,1216,65.0,-2.0,2014-11-17,False,left
51,551.7653,0,437,2761,2975,4263,504,-8.0,200,0,0,552.7436,1,0,colocated,20_12_2013 level23_spatial_Mini 09_02 log.txt,37,37,1216,65.0,-2.0,2013-12-20,False,left
16,225.77,0,437,2761,2975,4263,509,-8.0,200,0,1,227.1772,0,0,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,65.0,-2.0,2013-12-13,False,left
37,226.0477,0,437,2761,2975,4263,505,-8.0,200,0,1,228.6516,0,0,colocated,31_10_2014 level23_spatial_Mini 08_56 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,left
69,389.9169,0,437,2761,2975,4263,507,-8.0,200,0,0,391.3459,1,0,colocated,11_03_2014 level23_spatial_Mini 17_07 log.txt,37,37,1216,65.0,-2.0,2014-03-11,False,left
89,961.3918,1,437,2761,2975,4263,502,-8.0,200,0,0,962.5075,1,0,colocated,23_04_2014 level23_spatial_Mini 11_32 log.txt,37,37,1216,65.0,-2.0,2014-04-23,False,left
49,295.1961,1,437,2761,2975,4263,504,-8.0,200,0,0,295.3165,1,0,colocated,31_10_2014 level23_spatial_Mini 14_15 log.txt,37,37,1216,65.0,-2.0,2014-10-31,False,left
47,314.2941,0,437,2761,2975,4263,505,-8.0,200,0,1,314.8396,0,0,colocated,11_03_2014 level23_spatial_Mini 10_12 log.txt,37,37,1216,65.0,-2.0,2014-03-11,False,left
24,301.3029,0,437,2761,2975,4263,501,-8.0,200,0,1,305.2336,0,0,colocated,08_08_2014 level23_spatial_Mini 15_09 log.txt,37,37,1216,65.0,-2.0,2014-08-08,False,left
111,1162.0076,0,437,2761,2975,4263,506,-8.0,200,0,1,1163.1864,0,0,colocated,13_12_2013 level23_spatial_Mini 09_07 log.txt,37,37,1216,65.0,-2.0,2013-12-13,False,left
8,82.6338,0,437,2761,2975,4263,501,-8.0,200,0,0,83.7323,1,0,colocated,17_11_2014 level23_spatial_Mini 10_07 log.txt,37,37,1216,65.0,-2.0,2014-11-17,False,left
140,1077.1979,1,437,2761,2975,4263,509,-8.0,200,0,0,1079.7643,1,0,colocated,17_11_2014 level23_spatial_Mini 10_07 log.txt,37,37,1216,65.0,-2.0,2014-11-17,False,left
65,435.0056,0,437,2761,2975,4263,505,-8.0,200,0,1,435.5167,0,0,colocated,04_02_2014 level23_spatial_Mini 10_44 log.txt,37,37,1216,65.0,-2.0,2014-02-04,False,left
5,1047.2536,1,437,2761,2975,4263,508,-8.0,200,0,0,1051.7813,1,0,colocated,24_04_2014 level23_spatial_Mini 14_13 log.txt,37,37,1216,65.0,-2.0,2014-04-24,False,left
