SpatialCondition,treatment,nTrials,nCorrect,pCorrect,iteration
single_speaker,False,704,560,79.54545454545455,121
colocated,False,704,413,58.66477272727273,122
separated,False,704,436,61.93181818181818,122
single_speaker,False,704,554,78.69318181818183,122
colocated,False,704,411,58.38068181818182,123
separated,False,704,426,60.51136363636363,123
single_speaker,False,704,574,81.5340909090909,123
colocated,False,704,405,57.52840909090909,124
separated,False,704,440,62.5,124
single_speaker,False,704,568,80.68181818181817,124
colocated,False,704,423,60.08522727272727,125
separated,False,704,427,60.65340909090909,125
single_speaker,False,704,544,77.27272727272727,125
colocated,False,704,418,59.375,126
separated,False,704,425,60.36931818181818,126
single_speaker,False,704,563,79.9715909090909,126
colocated,False,704,421,59.80113636363637,127
separated,False,704,427,60.65340909090909,127
single_speaker,False,704,559,79.4034090909091,127
colocated,False,704,416,59.09090909090909,128
separated,False,704,413,58.66477272727273,128
single_speaker,False,704,555,78.83522727272727,128
colocated,False,704,433,61.50568181818182,129
separated,False,704,443,62.92613636363637,129
single_speaker,False,704,551,78.26704545454545,129
colocated,False,704,400,56.81818181818182,130
separated,False,704,436,61.93181818181818,130
single_speaker,False,704,581,82.5284090909091,130
colocated,False,704,396,56.25,131
separated,False,704,427,60.65340909090909,131
single_speaker,False,704,547,77.69886363636364,131
colocated,False,704,405,57.52840909090909,132
separated,False,704,431,61.22159090909091,132
single_speaker,False,704,545,77.41477272727273,132
colocated,False,704,406,57.67045454545454,133
separated,False,704,439,62.35795454545454,133
single_speaker,False,704,546,77.55681818181817,133
colocated,False,704,414,58.80681818181818,134
separated,False,704,459,65.19886363636364,134
single_speaker,False,704,562,79.82954545454545,134
colocated,False,704,439,62.35795454545454,135
separated,False,704,427,60.65340909090909,135
single_speaker,False,704,557,79.11931818181817,135
colocated,False,704,400,56.81818181818182,136
separated,False,704,408,57.95454545454546,136
single_speaker,False,704,557,79.11931818181817,136
colocated,False,704,405,57.52840909090909,137
separated,False,704,418,59.375,137
single_speaker,False,704,556,78.97727272727273,137
colocated,False,704,431,61.22159090909091,138
separated,False,704,429,60.9375,138
single_speaker,False,704,571,81.10795454545455,138
