Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,treatment,Mask,sessionDate,fNum,method,rxnTime,vowel,vowel_level,SNR
33,0,901,6.7,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.888,e,53.3,-16.700000000000003
34,0,601,-10.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.853,u,70.0,0.0
36,0,901,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.31,u,53.3,-16.700000000000003
37,0,801,-6.7,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.861,e,66.7,-3.299999999999997
38,0,1001,10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.82,e,50.0,-20.0
39,0,601,0.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.954,e,60.0,-10.0
40,0,501,3.3,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.099,u,56.7,-13.299999999999997
43,0,1001,-6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.774,e,66.7,-3.299999999999997
44,0,701,10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.737,u,50.0,-20.0
46,0,501,-10.0,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.794,e,70.0,0.0
48,0,601,0.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.885,u,60.0,-10.0
50,0,801,-3.3,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.69,e,63.3,-6.700000000000003
51,0,601,6.7,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.837,u,53.3,-16.700000000000003
53,0,1001,0.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.712,u,60.0,-10.0
55,0,701,3.3,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,1.142,e,56.7,-13.299999999999997
56,0,801,10.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.802,u,50.0,-20.0
58,0,901,6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.613,e,53.3,-16.700000000000003
59,0,801,-6.7,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.827,e,66.7,-3.299999999999997
62,0,601,-10.0,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.726,u,70.0,0.0
63,0,701,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.906,u,56.7,-13.299999999999997
64,0,901,-10.0,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.544,u,70.0,0.0
65,0,1001,-3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.683,u,63.3,-6.700000000000003
66,0,501,6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.074,e,53.3,-16.700000000000003
67,0,601,0.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.802,e,60.0,-10.0
68,0,801,-6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.692,e,66.7,-3.299999999999997
69,0,1001,0.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.684,e,60.0,-10.0
70,0,701,3.3,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.827,u,56.7,-13.299999999999997
73,0,801,-6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.87,e,66.7,-3.299999999999997
74,0,1001,-10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.828,e,70.0,0.0
75,0,701,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.629,u,53.3,-16.700000000000003
76,0,501,10.0,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.985,u,50.0,-20.0
77,0,601,6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.792,u,53.3,-16.700000000000003
78,0,701,-10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.695,e,70.0,0.0
79,0,501,-6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.876,u,66.7,-3.299999999999997
80,0,601,0.0,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.836,e,60.0,-10.0
82,0,1001,10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.952,u,50.0,-20.0
85,0,801,3.3,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.784,u,56.7,-13.299999999999997
86,0,601,10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,1.066,e,50.0,-20.0
87,0,701,-6.7,200,8,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.818,e,66.7,-3.299999999999997
89,0,801,3.3,200,8,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.801,e,56.7,-13.299999999999997
91,0,901,-10.0,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.609,u,70.0,0.0
92,0,501,6.7,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.982,u,53.3,-16.700000000000003
93,0,1001,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.866,e,60.0,-10.0
94,0,801,-10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.713,e,70.0,0.0
95,0,601,10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.971,e,50.0,-20.0
96,0,501,6.7,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.794,u,53.3,-16.700000000000003
97,0,701,-6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.028,u,66.7,-3.299999999999997
98,0,501,-3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.702,u,63.3,-6.700000000000003
99,0,601,3.3,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.97,e,56.7,-13.299999999999997
100,0,901,-10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.822,e,70.0,0.0
101,0,801,0.0,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.695,u,60.0,-10.0
102,0,1001,10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.047,e,50.0,-20.0
103,0,901,6.7,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.816,u,53.3,-16.700000000000003
108,0,701,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.096,u,56.7,-13.299999999999997
109,0,501,-6.7,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.159,e,66.7,-3.299999999999997
112,0,601,3.3,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.025,u,56.7,-13.299999999999997
114,0,801,6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.933,e,53.3,-16.700000000000003
115,0,701,-10.0,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.798,u,70.0,0.0
116,0,801,-6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.752,e,66.7,-3.299999999999997
117,0,501,-3.3,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.064,u,63.3,-6.700000000000003
119,0,901,0.0,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.846,u,60.0,-10.0
120,0,601,-3.3,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.734,u,63.3,-6.700000000000003
121,0,601,3.3,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.092,e,56.7,-13.299999999999997
123,0,1001,-10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.829,e,70.0,0.0
124,0,701,0.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.824,e,60.0,-10.0
125,0,501,10.0,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.914,u,50.0,-20.0
126,0,901,6.7,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.894,u,53.3,-16.700000000000003
128,0,901,-10.0,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.881,e,70.0,0.0
130,0,801,0.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.782,u,60.0,-10.0
132,0,601,6.7,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.911,e,53.3,-16.700000000000003
133,0,501,3.3,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,1.145,u,56.7,-13.299999999999997
134,0,701,10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.817,e,50.0,-20.0
135,0,1001,-3.3,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.641,e,63.3,-6.700000000000003
136,0,701,-6.7,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.626,e,66.7,-3.299999999999997
137,0,601,6.7,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.88,e,53.3,-16.700000000000003
139,0,901,10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.674,u,50.0,-20.0
143,0,501,-3.3,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.784,u,63.3,-6.700000000000003
144,0,601,3.3,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.027,u,56.7,-13.299999999999997
145,0,1001,-10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.671,e,70.0,0.0
146,0,801,0.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.833,e,60.0,-10.0
147,0,701,-6.7,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.589,u,66.7,-3.299999999999997
148,0,901,3.3,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.657,e,56.7,-13.299999999999997
149,0,1001,-10.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.76,u,70.0,0.0
153,0,501,6.7,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.941,u,53.3,-16.700000000000003
160,0,901,-3.3,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.695,e,63.3,-6.700000000000003
