Sample,Loop_L,ambient_L,Loop_R,ambient_R,datetime
253,5537,20.3,5537,21.8,09-Jun-2015 17:08:41
254,5537,20.3,5537,21.8,09-Jun-2015 17:08:42
255,5537,20.3,5537,21.8,09-Jun-2015 17:08:43
256,5537,20.3,5537,21.8,09-Jun-2015 17:08:44
257,5537,20.3,5537,21.8,09-Jun-2015 17:08:45
258,5537,20.3,5537,21.8,09-Jun-2015 17:08:46
259,5537,20.3,5537,21.8,09-Jun-2015 17:08:47
260,5537,20.3,5537,21.8,09-Jun-2015 17:08:48
261,5537,20.3,5537,21.8,09-Jun-2015 17:08:49
262,5537,20.3,5537,21.8,09-Jun-2015 17:08:50
263,5537,20.3,5537,21.8,09-Jun-2015 17:08:51
264,5537,20.3,5537,21.8,09-Jun-2015 17:08:52
265,5537,20.3,5537,21.8,09-Jun-2015 17:08:53
266,5537,20.3,5537,21.8,09-Jun-2015 17:08:54
267,5537,20.3,5537,21.8,09-Jun-2015 17:08:55
268,5537,20.3,5537,21.8,09-Jun-2015 17:08:56
269,5537,20.3,5537,21.8,09-Jun-2015 17:08:57
270,5537,20.3,5537,21.8,09-Jun-2015 17:08:58
271,5537,20.3,5537,21.8,09-Jun-2015 17:08:59
272,5537,20.3,5537,21.8,09-Jun-2015 17:09:00
273,5537,20.3,5537,21.8,09-Jun-2015 17:09:01
274,5537,20.3,5537,21.8,09-Jun-2015 17:09:02
275,5537,20.3,5537,21.8,09-Jun-2015 17:09:03
276,5537,20.3,5537,21.8,09-Jun-2015 17:09:04
277,5537,20.3,5537,21.8,09-Jun-2015 17:09:05
278,5537,20.3,5537,21.8,09-Jun-2015 17:09:06
279,5537,20.3,5537,21.8,09-Jun-2015 17:09:07
280,5537,20.3,5537,21.8,09-Jun-2015 17:09:08
281,5537,20.3,5537,21.8,09-Jun-2015 17:09:09
282,5537,20.3,5537,21.8,09-Jun-2015 17:09:10
283,5537,20.3,5537,21.8,09-Jun-2015 17:09:11
284,5537,20.3,5537,21.8,09-Jun-2015 17:09:12
285,5537,20.3,5537,21.8,09-Jun-2015 17:09:13
286,5537,20.3,5537,21.8,09-Jun-2015 17:09:14
287,5537,20.3,5537,21.8,09-Jun-2015 17:09:15
288,5537,20.3,5537,21.8,09-Jun-2015 17:09:16
289,5537,20.3,5537,21.8,09-Jun-2015 17:09:17
290,5537,20.3,5537,21.8,09-Jun-2015 17:09:18
291,5537,20.3,5537,21.8,09-Jun-2015 17:09:19
292,5537,20.3,5537,21.8,09-Jun-2015 17:09:20
293,5537,20.3,5537,21.8,09-Jun-2015 17:09:21
294,5537,20.3,5537,21.8,09-Jun-2015 17:09:22
295,5537,20.3,5537,21.8,09-Jun-2015 17:09:23
296,5537,20.3,5537,21.8,09-Jun-2015 17:09:24
297,5537,20.3,5537,21.8,09-Jun-2015 17:09:25
298,5537,20.3,5537,21.8,09-Jun-2015 17:09:26
299,5537,20.3,5537,21.8,09-Jun-2015 17:09:27
300,5537,20.3,5537,21.7,09-Jun-2015 17:09:28
301,5537,20.3,5537,21.6,09-Jun-2015 17:09:29
302,5537,20.3,5537,21.6,09-Jun-2015 17:09:30
303,5537,20.3,5537,21.6,09-Jun-2015 17:09:31
304,5537,20.3,5537,21.6,09-Jun-2015 17:09:32
305,5537,20.3,5537,21.6,09-Jun-2015 17:09:33
306,5537,20.3,5537,21.6,09-Jun-2015 17:09:34
307,5537,20.3,5537,21.6,09-Jun-2015 17:09:35
308,5537,20.3,5537,21.6,09-Jun-2015 17:09:36
309,5537,20.3,5537,21.6,09-Jun-2015 17:09:37
310,5537,20.3,5537,21.6,09-Jun-2015 17:09:38
311,5537,20.3,5537,21.6,09-Jun-2015 17:09:39
312,5537,20.3,36,21.6,09-Jun-2015 17:09:40
313,5537,20.3,36,21.6,09-Jun-2015 17:09:41
314,5537,20.3,36,21.6,09-Jun-2015 17:09:42
315,38,20.3,36,21.6,09-Jun-2015 17:09:43
316,38,20.3,36,21.6,09-Jun-2015 17:09:44
317,38,20.3,36,21.6,09-Jun-2015 17:09:45
318,38,20.3,36,21.6,09-Jun-2015 17:09:46
319,38,20.3,36,21.6,09-Jun-2015 17:09:47
320,38,20.3,36,21.6,09-Jun-2015 17:09:49
321,38,20.3,36,21.6,09-Jun-2015 17:09:50
322,38,20.3,36,21.6,09-Jun-2015 17:09:51
323,38,20.3,36,21.6,09-Jun-2015 17:09:52
324,38,20.3,36,21.6,09-Jun-2015 17:09:53
325,38,20.3,36,21.6,09-Jun-2015 17:09:54
326,38,20.3,36,21.6,09-Jun-2015 17:09:55
327,38,20.3,36,21.6,09-Jun-2015 17:09:56
328,38,20.3,36,21.6,09-Jun-2015 17:09:57
329,38,20.3,36,21.6,09-Jun-2015 17:09:58
330,38,20.3,36,21.6,09-Jun-2015 17:09:59
331,38,20.3,36,21.6,09-Jun-2015 17:10:00
332,38,20.3,36,21.6,09-Jun-2015 17:10:01
333,38,20.3,36,21.6,09-Jun-2015 17:10:02
334,38,20.3,36,21.6,09-Jun-2015 17:10:03
335,38,20.3,36,21.6,09-Jun-2015 17:10:04
336,38,20.3,36,21.6,09-Jun-2015 17:10:05
337,38,20.3,36,21.6,09-Jun-2015 17:10:06
338,38,20.3,36,21.6,09-Jun-2015 17:10:07
339,38,20.3,36,21.6,09-Jun-2015 17:10:08
340,38,20.3,36,21.6,09-Jun-2015 17:10:09
341,38,20.3,36,21.6,09-Jun-2015 17:10:10
342,38,20.3,36,21.6,09-Jun-2015 17:10:11
343,38,20.3,36,21.6,09-Jun-2015 17:10:12
344,38,20.3,36,21.6,09-Jun-2015 17:10:13
345,38,20.3,36,21.6,09-Jun-2015 17:10:14
346,38,20.3,36,21.6,09-Jun-2015 17:10:15
347,38,20.3,36,21.6,09-Jun-2015 17:10:16
348,38,20.3,36,21.6,09-Jun-2015 17:10:17
349,38,20.3,36,21.6,09-Jun-2015 17:10:18
350,38,20.3,36,21.6,09-Jun-2015 17:10:19
351,38,20.3,36,21.6,09-Jun-2015 17:10:20
352,38,20.3,36,21.6,09-Jun-2015 17:10:21
353,38,20.3,36,21.6,09-Jun-2015 17:10:22
354,38,20.3,36,21.6,09-Jun-2015 17:10:23
355,38,20.3,36,21.6,09-Jun-2015 17:10:24
356,38,20.3,36,21.6,09-Jun-2015 17:10:25
357,38,20.3,36,21.6,09-Jun-2015 17:10:26
358,38,20.3,35,21.6,09-Jun-2015 17:10:27
359,38,20.3,35,21.6,09-Jun-2015 17:10:28
360,38,20.3,35,21.6,09-Jun-2015 17:10:29
361,38,20.3,34,21.6,09-Jun-2015 17:10:30
362,38,20.3,34,21.6,09-Jun-2015 17:10:31
363,38,20.3,33,21.6,09-Jun-2015 17:10:32
364,38,20.3,33,21.6,09-Jun-2015 17:10:33
365,38,20.3,32,21.6,09-Jun-2015 17:10:34
366,38,20.3,31,21.6,09-Jun-2015 17:10:35
367,38,20.3,31,21.6,09-Jun-2015 17:10:36
368,38,20.3,31,21.6,09-Jun-2015 17:10:37
369,38,20.3,30,21.6,09-Jun-2015 17:10:38
370,38,20.3,30,21.6,09-Jun-2015 17:10:39
371,38,20.3,30,21.6,09-Jun-2015 17:10:40
372,38,20.3,29,21.6,09-Jun-2015 17:10:41
373,38,20.3,29,21.6,09-Jun-2015 17:10:42
374,38,20.3,29,21.6,09-Jun-2015 17:10:43
375,38,20.3,28,21.6,09-Jun-2015 17:10:44
376,38,20.3,28,21.6,09-Jun-2015 17:10:45
377,38,20.3,28,21.6,09-Jun-2015 17:10:46
378,38,20.3,27,21.6,09-Jun-2015 17:10:47
379,38,20.3,27,21.6,09-Jun-2015 17:10:48
380,38,20.3,27,21.6,09-Jun-2015 17:10:49
381,38,20.3,27,21.6,09-Jun-2015 17:10:50
382,38,20.3,27,21.6,09-Jun-2015 17:10:51
383,38,20.3,26,21.6,09-Jun-2015 17:10:52
384,38,20.3,26,21.6,09-Jun-2015 17:10:53
385,38,20.3,26,21.6,09-Jun-2015 17:10:54
386,38,20.3,26,21.6,09-Jun-2015 17:10:55
387,38,20.3,26,21.6,09-Jun-2015 17:10:56
388,38,20.3,26,21.6,09-Jun-2015 17:10:57
389,38,20.3,26,21.6,09-Jun-2015 17:10:58
390,38,20.3,26,21.6,09-Jun-2015 17:10:59
391,38,20.3,25,21.6,09-Jun-2015 17:11:01
392,38,20.3,25,21.6,09-Jun-2015 17:11:02
393,38,20.3,25,21.6,09-Jun-2015 17:11:03
394,38,20.3,25,21.6,09-Jun-2015 17:11:04
395,38,20.3,25,21.6,09-Jun-2015 17:11:05
396,38,20.3,25,21.6,09-Jun-2015 17:11:06
397,38,20.3,25,21.6,09-Jun-2015 17:11:07
398,38,20.3,24,21.6,09-Jun-2015 17:11:08
399,38,20.3,24,21.6,09-Jun-2015 17:11:09
400,38,20.3,24,21.6,09-Jun-2015 17:11:10
401,38,20.3,24,21.6,09-Jun-2015 17:11:11
402,38,20.3,24,21.6,09-Jun-2015 17:11:12
403,38,20.3,23,21.6,09-Jun-2015 17:11:13
404,38,20.3,23,21.6,09-Jun-2015 17:11:14
405,38,20.3,23,21.6,09-Jun-2015 17:11:15
406,38,20.3,23,21.6,09-Jun-2015 17:11:16
407,38,20.3,23,21.6,09-Jun-2015 17:11:17
408,38,20.3,23,21.6,09-Jun-2015 17:11:18
409,38,20.3,23,21.6,09-Jun-2015 17:11:19
410,38,20.3,23,21.6,09-Jun-2015 17:11:20
411,38,20.3,23,21.6,09-Jun-2015 17:11:21
412,38,20.3,22,21.6,09-Jun-2015 17:11:22
413,38,20.3,22,21.6,09-Jun-2015 17:11:23
414,38,20.3,22,21.6,09-Jun-2015 17:11:24
415,38,20.3,22,21.6,09-Jun-2015 17:11:25
416,38,20.3,22,21.6,09-Jun-2015 17:11:26
417,38,20.3,21,21.6,09-Jun-2015 17:11:27
418,38,20.3,21,21.6,09-Jun-2015 17:11:28
419,38,20.3,21,21.6,09-Jun-2015 17:11:29
420,38,20.3,21,21.6,09-Jun-2015 17:11:30
421,38,20.3,21,21.6,09-Jun-2015 17:11:31
422,38,20.3,21,21.6,09-Jun-2015 17:11:32
423,38,20.3,21,21.6,09-Jun-2015 17:11:33
424,38,20.3,21,21.6,09-Jun-2015 17:11:34
425,38,20.3,21,21.6,09-Jun-2015 17:11:35
426,38,20.3,21,21.6,09-Jun-2015 17:11:36
427,38,20.3,21,21.6,09-Jun-2015 17:11:37
428,38,20.3,20,21.6,09-Jun-2015 17:11:38
429,38,20.3,20,21.6,09-Jun-2015 17:11:39
430,38,20.3,20,21.6,09-Jun-2015 17:11:40
431,38,20.3,20,21.6,09-Jun-2015 17:11:41
