Sample,Loop_L,ambient_L,Loop_R,ambient_R,datetime
256,5537,19.5,5537,19.5,10-Jun-2015 08:12:49
257,5537,19.5,5537,19.5,10-Jun-2015 08:12:50
258,5537,19.5,5537,19.5,10-Jun-2015 08:12:51
259,5537,19.5,5537,19.5,10-Jun-2015 08:12:53
260,5537,19.5,5537,19.5,10-Jun-2015 08:12:54
261,5537,19.5,5537,19.5,10-Jun-2015 08:12:55
262,5537,19.5,5537,19.5,10-Jun-2015 08:12:56
263,5537,19.5,5537,19.5,10-Jun-2015 08:12:57
264,5537,19.5,5537,19.5,10-Jun-2015 08:12:58
265,5537,19.5,5537,19.5,10-Jun-2015 08:12:59
266,5537,19.5,5537,19.5,10-Jun-2015 08:13:00
267,5537,19.5,5537,19.5,10-Jun-2015 08:13:01
268,5537,19.5,5537,19.5,10-Jun-2015 08:13:02
269,5537,19.5,5537,19.5,10-Jun-2015 08:13:03
270,5537,19.5,5537,19.5,10-Jun-2015 08:13:04
271,5537,19.5,5537,19.5,10-Jun-2015 08:13:05
272,5537,19.5,5537,19.5,10-Jun-2015 08:13:06
273,5537,19.5,5537,19.5,10-Jun-2015 08:13:07
274,5537,19.5,5537,19.5,10-Jun-2015 08:13:08
275,5537,19.5,5537,19.5,10-Jun-2015 08:13:09
276,5537,19.5,5537,19.5,10-Jun-2015 08:13:10
277,5537,19.5,5537,19.5,10-Jun-2015 08:13:11
278,5537,19.5,5537,19.5,10-Jun-2015 08:13:12
279,5537,19.5,5537,19.5,10-Jun-2015 08:13:13
280,5537,19.5,5537,19.5,10-Jun-2015 08:13:14
281,5537,19.5,5537,19.5,10-Jun-2015 08:13:15
282,5537,19.5,5537,19.5,10-Jun-2015 08:13:16
283,5537,19.5,5537,19.5,10-Jun-2015 08:13:17
284,5537,19.5,5537,19.5,10-Jun-2015 08:13:18
285,5537,19.5,5537,19.5,10-Jun-2015 08:13:19
286,5537,19.5,5537,19.5,10-Jun-2015 08:13:20
287,5537,19.5,5537,19.5,10-Jun-2015 08:13:21
288,5537,19.5,5537,19.5,10-Jun-2015 08:13:22
289,5537,19.5,5537,19.5,10-Jun-2015 08:13:23
290,5537,19.5,5537,19.5,10-Jun-2015 08:13:24
291,5537,19.5,5537,19.5,10-Jun-2015 08:13:25
292,5537,19.5,5537,19.5,10-Jun-2015 08:13:26
293,5537,19.5,5537,19.5,10-Jun-2015 08:13:27
294,5537,19.5,5537,19.5,10-Jun-2015 08:13:28
295,5537,19.5,5537,19.5,10-Jun-2015 08:13:29
296,5537,19.5,5537,19.5,10-Jun-2015 08:13:30
297,5537,19.5,5537,19.5,10-Jun-2015 08:13:31
298,5537,19.5,5537,19.5,10-Jun-2015 08:13:32
299,5537,19.5,5537,19.5,10-Jun-2015 08:13:33
300,5537,19.5,5537,19.5,10-Jun-2015 08:13:34
301,5537,19.5,5537,19.5,10-Jun-2015 08:13:35
302,5537,19.5,5537,19.5,10-Jun-2015 08:13:36
303,5537,19.5,5537,19.5,10-Jun-2015 08:13:37
304,5537,19.5,5537,19.5,10-Jun-2015 08:13:38
305,5537,19.5,5537,19.5,10-Jun-2015 08:13:39
306,5537,19.5,5537,19.5,10-Jun-2015 08:13:40
307,5537,19.5,5537,19.5,10-Jun-2015 08:13:41
308,5537,19.5,5537,19.5,10-Jun-2015 08:13:42
309,5537,19.5,5537,19.5,10-Jun-2015 08:13:43
310,5537,19.5,5537,19.5,10-Jun-2015 08:13:44
311,5537,19.5,5537,19.5,10-Jun-2015 08:13:45
312,5537,19.5,5537,19.5,10-Jun-2015 08:13:46
313,5537,19.5,5537,19.5,10-Jun-2015 08:13:47
314,5537,19.5,5537,19.5,10-Jun-2015 08:13:48
315,5537,19.5,5537,19.5,10-Jun-2015 08:13:49
316,5537,19.5,5537,19.5,10-Jun-2015 08:13:50
317,5537,19.5,5537,19.5,10-Jun-2015 08:13:51
318,5537,19.5,5537,19.5,10-Jun-2015 08:13:52
319,5537,19.5,5537,19.5,10-Jun-2015 08:13:53
320,5537,19.5,5537,19.5,10-Jun-2015 08:13:54
321,5537,19.5,5537,19.5,10-Jun-2015 08:13:55
322,5537,19.5,5537,19.5,10-Jun-2015 08:13:56
323,5537,19.5,5537,19.5,10-Jun-2015 08:13:57
324,5537,19.5,5537,19.5,10-Jun-2015 08:13:58
325,5537,19.5,5537,19.5,10-Jun-2015 08:13:59
326,5537,19.5,5537,19.5,10-Jun-2015 08:14:00
327,5537,19.5,5537,19.5,10-Jun-2015 08:14:01
328,5537,19.5,5537,19.5,10-Jun-2015 08:14:02
329,5537,19.5,5537,19.5,10-Jun-2015 08:14:03
330,5537,19.5,5537,19.5,10-Jun-2015 08:14:05
331,5537,19.5,5537,19.5,10-Jun-2015 08:14:06
332,5537,19.5,5537,19.5,10-Jun-2015 08:14:07
333,5537,19.5,5537,19.5,10-Jun-2015 08:14:08
334,5537,19.5,5537,19.5,10-Jun-2015 08:14:09
335,5537,19.5,5537,19.5,10-Jun-2015 08:14:10
336,5537,19.5,5537,19.5,10-Jun-2015 08:14:11
337,5537,19.5,5537,19.5,10-Jun-2015 08:14:12
338,5537,19.5,5537,19.5,10-Jun-2015 08:14:13
339,5537,19.5,5537,19.5,10-Jun-2015 08:14:14
340,5537,19.5,5537,19.5,10-Jun-2015 08:14:15
341,5537,19.5,5537,19.5,10-Jun-2015 08:14:16
342,5537,19.5,5537,19.5,10-Jun-2015 08:14:17
343,5537,19.5,5537,19.5,10-Jun-2015 08:14:18
344,5537,19.5,5537,19.5,10-Jun-2015 08:14:19
345,5537,19.5,5537,19.5,10-Jun-2015 08:14:20
346,5537,19.5,5537,19.5,10-Jun-2015 08:14:21
347,5537,19.5,5537,19.5,10-Jun-2015 08:14:22
348,5537,19.5,5537,19.5,10-Jun-2015 08:14:23
349,5537,19.5,5537,19.5,10-Jun-2015 08:14:24
350,5537,19.5,5537,19.5,10-Jun-2015 08:14:25
351,5537,19.5,5537,19.5,10-Jun-2015 08:14:26
352,5537,19.5,5537,19.5,10-Jun-2015 08:14:27
353,5537,19.5,5537,19.5,10-Jun-2015 08:14:28
354,5537,19.5,5537,19.5,10-Jun-2015 08:14:29
355,5537,19.5,5537,19.5,10-Jun-2015 08:14:30
356,5537,19.5,5537,19.5,10-Jun-2015 08:14:31
357,5537,19.5,5537,19.5,10-Jun-2015 08:14:32
358,5537,19.5,5537,19.5,10-Jun-2015 08:14:33
359,5537,19.5,5537,19.5,10-Jun-2015 08:14:34
360,5537,19.5,5537,19.5,10-Jun-2015 08:14:35
361,5537,19.5,5537,19.5,10-Jun-2015 08:14:36
362,5537,19.5,5537,19.5,10-Jun-2015 08:14:37
363,5537,19.5,5537,19.5,10-Jun-2015 08:14:38
364,5537,19.5,5537,19.5,10-Jun-2015 08:14:39
365,5537,19.5,5537,19.5,10-Jun-2015 08:14:40
366,5537,19.5,5537,19.5,10-Jun-2015 08:14:41
367,5537,19.5,5537,19.5,10-Jun-2015 08:14:42
368,5537,19.5,5537,19.5,10-Jun-2015 08:14:43
369,5537,19.5,5537,19.5,10-Jun-2015 08:14:44
370,5537,19.5,5537,19.5,10-Jun-2015 08:14:45
371,5537,19.5,5537,19.5,10-Jun-2015 08:14:46
372,5537,19.5,5537,19.5,10-Jun-2015 08:14:47
373,5537,19.5,5537,19.5,10-Jun-2015 08:14:48
374,5537,19.5,5537,19.5,10-Jun-2015 08:14:49
375,5537,19.5,5537,19.5,10-Jun-2015 08:14:50
376,5537,19.5,5537,19.5,10-Jun-2015 08:14:51
377,5537,19.5,5537,19.5,10-Jun-2015 08:14:52
378,5537,19.5,5537,19.5,10-Jun-2015 08:14:53
379,5537,19.5,5537,19.5,10-Jun-2015 08:14:54
380,5537,19.5,5537,19.5,10-Jun-2015 08:14:55
381,5537,19.5,5537,19.5,10-Jun-2015 08:14:56
382,5537,19.5,5537,19.5,10-Jun-2015 08:14:57
383,5537,19.5,5537,19.5,10-Jun-2015 08:14:58
384,5537,19.5,5537,19.5,10-Jun-2015 08:14:59
385,5537,19.5,5537,19.5,10-Jun-2015 08:15:00
386,5537,19.5,5537,19.5,10-Jun-2015 08:15:01
387,5537,19.5,5537,19.5,10-Jun-2015 08:15:02
388,5537,19.5,5537,19.5,10-Jun-2015 08:15:03
389,5537,19.5,5537,19.5,10-Jun-2015 08:15:04
390,5537,19.5,5537,19.5,10-Jun-2015 08:15:05
391,5537,19.5,5537,19.5,10-Jun-2015 08:15:06
392,5537,19.5,5537,19.5,10-Jun-2015 08:15:07
393,5537,19.5,5537,19.5,10-Jun-2015 08:15:08
