Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	Mask	
109	0	1584.9382	0	437	2761	2975	4263	526	-7.5	200	1	0	1586.2358	0	1	
110	1	1590.2342	0	437	2761	2975	4263	526	-7.5	200	1	1	1591.7200	1	1	
111	0	1596.6069	0	936	1551	2975	4263	751	-8.5	200	0	0	1599.0089	1	1	
112	0	1605.7901	0	437	2761	2975	4263	576	-3.5	200	1	1	1607.2255	1	1	
113	0	1611.5214	0	437	2761	2975	4263	551	-12.5	200	1	1	1612.8292	1	1	
114	0	1618.6262	0	936	1551	2975	4263	701	-17.5	200	0	0	1620.3425	1	1	
115	0	1626.6063	0	936	1551	2975	4263	601	-12.5	200	0	0	1628.0135	1	1	
116	0	1634.9241	0	437	2761	2975	4263	501	-7.5	200	1	1	1636.3443	1	1	
117	0	1640.9099	0	936	1551	2975	4263	726	-17.5	200	0	0	1641.8462	1	1	
118	0	1649.4893	1	936	1551	2975	4263	626	-8.5	200	0	1	1653.2718	0	1	
119	1	1659.6589	0	936	1551	2975	4263	626	-8.5	200	0	1	1661.5606	0	1	
120	1	1666.7397	1	936	1551	2975	4263	626	-8.5	200	0	0	1671.1013	1	1	
121	0	1678.4663	1	437	2761	2975	4263	676	-12.5	200	1	1	1682.4802	1	1	
122	0	1687.3370	1	437	2761	2975	4263	526	-3.5	200	1	0	1692.7742	0	1	
123	1	1700.7891	1	437	2761	2975	4263	526	-3.5	200	1	1	1703.4250	1	1	
124	0	1707.2339	0	437	2761	2975	4263	751	-7.5	200	1	0	1708.9588	0	1	
125	1	1716.2114	0	437	2761	2975	4263	751	-7.5	200	1	1	1717.6851	1	1	
126	0	1721.9117	1	936	1551	2975	4263	626	-12.5	200	0	1	1724.5548	0	1	
