Trial,CorrectionTrial,StartTime,CenterReward,SpkrIdx,SpkrPos,duration,HoldTime,Atten,Response,RespTime,Correct,ComputerTime,Modality,Condition,SessionDate,originalFile,LeftTemperature,RightTemperature
63,0,1760.964,0,7,60,250,751,0.0,8,1761.849,0,736148.684548,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
64,0,1773.848,0,6,30,250,501,4.5,6,1774.874,1,736148.6847,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
65,0,1789.971,0,3,-60,250,901,0.0,3,1790.654,1,736148.684885,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
66,0,1797.7,0,2,-90,250,551,4.5,2,1798.822,1,736148.684977,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
67,0,1808.381,0,8,90,250,1001,4.5,8,1809.411,1,736148.685099,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
68,0,1820.904,0,3,-60,250,801,9.0,3,1821.808,1,736148.685243,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
69,0,1829.944,0,7,60,250,851,9.0,2,1830.967,0,736148.685348,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
70,0,1845.287,0,6,30,250,701,0.0,6,1846.165,1,736148.685524,Vis,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
71,0,1854.338,0,3,-60,250,501,9.0,4,1855.089,0,736148.685629,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,35.0
72,0,1861.659,0,3,-60,250,801,0.0,7,1863.081,0,736148.685721,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
73,0,1873.031,0,6,30,250,551,9.0,7,1874.079,0,736148.685848,Aud,Left,2015-07-03 15:56:00,3_7_2015 level5_250_cooling 15_56 log,11.0,34.0
