Trial	CorrectionTrial?	StartTime	CenterReward?	F1	F2	F3	F4	HoldTime	Atten	Pitch	Side	Response	RespTime	Correct	noiseAtten	opto	laserOnset	laserOffset	
120	0	1403.392	0	460	1105	2857	4205	601	-3.3	200	0	8	1404.126	1	10	1	-150	100	
121	0	1413.574	0	730	2058	2857	4205	601	3.3	200	1	8	1414.666	0	10	1	-150	100	
122	1	1418.820	0	730	2058	2857	4205	601	3.3	200	1	2	1419.922	1	10	0	-150	100	
123	0	1441.581	0	730	2058	2857	4205	1001	-10.0	200	1	2	1442.410	1	10	0	-150	100	
124	0	1455.874	0	730	2058	2857	4205	701	0.0	200	1	2	1456.698	1	10	1	-150	100	
125	0	1466.604	0	460	1105	2857	4205	501	10.0	200	0	8	1467.518	1	10	0	-150	100	
126	0	1483.877	0	460	1105	2857	4205	901	6.7	200	0	2	1484.771	0	10	1	-150	100	
127	1	1519.037	0	460	1105	2857	4205	901	6.7	200	0	-1	-1.000	0	10	0	-150	100	
128	0	1542.688	0	730	2058	2857	4205	901	-10.0	200	1	8	1543.569	0	10	1	-150	100	
129	1	1559.045	0	730	2058	2857	4205	901	-10.0	200	1	2	1559.830	1	10	0	-150	100	
130	0	1568.624	0	460	1105	2857	4205	801	0.0	200	0	2	1569.406	0	10	0	-150	100	
131	1	1576.680	0	460	1105	2857	4205	801	0.0	200	0	8	1577.589	1	10	0	-150	100	
132	0	1590.501	0	730	2058	2857	4205	601	6.7	200	1	2	1591.412	1	10	1	-150	100	
133	0	1599.423	0	460	1105	2857	4205	501	3.3	200	0	8	1600.568	1	10	1	-150	100	
134	0	1610.842	0	730	2058	2857	4205	701	10.0	200	1	2	1611.659	1	10	0	-150	100	
135	0	1622.426	0	730	2058	2857	4205	1001	-3.3	200	1	2	1623.067	1	10	0	-150	100	
136	0	1634.814	0	730	2058	2857	4205	701	-6.7	200	1	2	1635.440	1	10	0	-150	100	
137	0	1647.285	0	730	2058	2857	4205	601	6.7	200	1	8	1648.165	0	10	1	-150	100	
138	1	1652.316	0	730	2058	2857	4205	601	6.7	200	1	2	1653.106	1	10	0	-150	100	
139	0	1663.491	0	460	1105	2857	4205	901	10.0	200	0	2	1664.165	0	10	0	-150	100	
140	1	1668.655	0	460	1105	2857	4205	901	10.0	200	0	2	1670.722	0	10	0	-150	100	
141	1	1674.635	0	460	1105	2857	4205	901	10.0	200	0	2	1675.398	0	10	0	-150	100	
142	1	1684.678	0	460	1105	2857	4205	901	10.0	200	0	8	1685.528	1	10	0	-150	100	
143	0	1698.886	0	460	1105	2857	4205	501	-3.3	200	0	8	1699.670	1	10	1	-150	100	
144	0	1708.142	0	460	1105	2857	4205	601	3.3	200	0	8	1709.169	1	10	0	-150	100	
145	0	1729.239	0	730	2058	2857	4205	1001	-10.0	200	1	2	1729.910	1	10	1	-150	100	
146	0	1743.109	0	730	2058	2857	4205	801	0.0	200	1	2	1743.942	1	10	0	-150	100	
147	0	1751.764	0	460	1105	2857	4205	701	-6.7	200	0	8	1752.353	1	10	1	-150	100	
148	0	1767.211	0	730	2058	2857	4205	901	3.3	200	1	2	1767.868	1	10	0	-150	100	
149	0	1802.105	0	460	1105	2857	4205	1001	-10.0	200	0	2	1802.865	0	10	1	-150	100	
150	1	1806.927	0	460	1105	2857	4205	1001	-10.0	200	0	2	1808.361	0	10	0	-150	100	
151	1	1821.334	0	460	1105	2857	4205	1001	-10.0	200	0	2	1822.351	0	10	0	-150	100	
