Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
242,12,2,2014,15,48,18,38,20.6,36,20.3
243,12,2,2014,15,48,19,38,20.6,36,20.3
244,12,2,2014,15,48,20,38,20.6,36,20.3
245,12,2,2014,15,48,21,38,20.6,36,20.3
246,12,2,2014,15,48,22,38,20.6,36,20.3
247,12,2,2014,15,48,23,38,20.6,35,20.3
248,12,2,2014,15,48,24,38,20.6,35,20.3
249,12,2,2014,15,48,25,38,20.6,34,20.3
250,12,2,2014,15,48,26,38,20.6,33,20.3
251,12,2,2014,15,48,27,38,20.6,33,20.3
252,12,2,2014,15,48,28,38,20.6,32,20.3
253,12,2,2014,15,48,29,38,20.6,32,20.3
254,12,2,2014,15,48,30,38,20.6,31,20.3
255,12,2,2014,15,48,31,38,20.6,31,20.3
256,12,2,2014,15,48,32,38,20.6,31,20.3
257,12,2,2014,15,48,33,38,20.6,30,20.3
258,12,2,2014,15,48,34,38,20.6,29,20.3
259,12,2,2014,15,48,35,38,20.6,29,20.3
260,12,2,2014,15,48,36,38,20.6,29,20.3
261,12,2,2014,15,48,37,38,20.6,29,20.3
262,12,2,2014,15,48,38,38,20.6,29,20.3
263,12,2,2014,15,48,39,38,20.6,28,20.3
264,12,2,2014,15,48,40,38,20.6,28,20.3
265,12,2,2014,15,48,41,38,20.6,28,20.3
266,12,2,2014,15,48,42,38,20.6,27,20.3
267,12,2,2014,15,48,43,38,20.6,27,20.3
268,12,2,2014,15,48,44,38,20.6,27,20.3
269,12,2,2014,15,48,45,38,20.6,27,20.3
270,12,2,2014,15,48,46,38,20.6,27,20.3
271,12,2,2014,15,48,47,38,20.6,27,20.3
272,12,2,2014,15,48,48,38,20.6,27,20.3
273,12,2,2014,15,48,49,38,20.6,27,20.3
274,12,2,2014,15,48,50,38,20.6,27,20.3
275,12,2,2014,15,48,51,38,20.6,26,20.3
276,12,2,2014,15,48,52,38,20.6,26,20.3
277,12,2,2014,15,48,53,38,20.6,26,20.3
278,12,2,2014,15,48,54,38,20.6,26,20.3
279,12,2,2014,15,48,55,38,20.6,26,20.3
280,12,2,2014,15,48,56,38,20.6,26,20.3
281,12,2,2014,15,48,57,38,20.6,25,20.3
282,12,2,2014,15,48,58,38,20.6,25,20.3
283,12,2,2014,15,48,59,38,20.6,25,20.3
284,12,2,2014,15,49,0,38,20.6,25,20.3
285,12,2,2014,15,49,1,38,20.6,25,20.3
286,12,2,2014,15,49,2,38,20.6,25,20.3
287,12,2,2014,15,49,3,38,20.6,25,20.3
288,12,2,2014,15,49,4,38,20.6,25,20.3
289,12,2,2014,15,49,5,38,20.6,24,20.3
290,12,2,2014,15,49,6,38,20.6,24,20.3
291,12,2,2014,15,49,7,38,20.6,24,20.3
292,12,2,2014,15,49,8,38,20.6,24,20.3
293,12,2,2014,15,49,9,38,20.6,24,20.3
294,12,2,2014,15,49,10,38,20.6,24,20.3
295,12,2,2014,15,49,11,38,20.6,23,20.3
296,12,2,2014,15,49,12,38,20.6,23,20.3
297,12,2,2014,15,49,13,38,20.6,23,20.3
298,12,2,2014,15,49,15,38,20.6,23,20.3
299,12,2,2014,15,49,16,38,20.6,23,20.3
300,12,2,2014,15,49,17,38,20.6,23,20.3
301,12,2,2014,15,49,18,38,20.6,23,20.3
302,12,2,2014,15,49,19,38,20.6,23,20.3
303,12,2,2014,15,49,20,38,20.6,23,20.3
304,12,2,2014,15,49,21,38,20.6,22,20.3
305,12,2,2014,15,49,22,38,20.6,22,20.3
306,12,2,2014,15,49,23,38,20.6,22,20.3
307,12,2,2014,15,49,24,38,20.6,22,20.3
308,12,2,2014,15,49,25,38,20.6,22,20.3
309,12,2,2014,15,49,26,38,20.6,22,20.3
310,12,2,2014,15,49,27,38,20.6,22,20.3
311,12,2,2014,15,49,28,38,20.6,22,20.3
312,12,2,2014,15,49,29,38,20.6,22,20.3
313,12,2,2014,15,49,30,38,20.6,22,20.3
314,12,2,2014,15,49,31,38,20.6,22,20.3
315,12,2,2014,15,49,32,38,20.6,21,20.3
316,12,2,2014,15,49,33,38,20.6,21,20.3
317,12,2,2014,15,49,34,38,20.6,21,20.3
318,12,2,2014,15,49,35,38,20.6,21,20.3
319,12,2,2014,15,49,36,38,20.6,21,20.3
320,12,2,2014,15,49,37,38,20.6,21,20.3
321,12,2,2014,15,49,38,38,20.6,21,20.3
322,12,2,2014,15,49,39,38,20.6,21,20.3
323,12,2,2014,15,49,40,38,20.6,21,20.3
324,12,2,2014,15,49,41,38,20.6,21,20.3
325,12,2,2014,15,49,42,38,20.6,21,20.3
326,12,2,2014,15,49,43,38,20.6,21,20.3
327,12,2,2014,15,49,44,38,20.6,21,20.3
328,12,2,2014,15,49,45,38,20.6,20,20.3
329,12,2,2014,15,49,46,38,20.6,20,20.3
330,12,2,2014,15,49,47,38,20.6,20,20.3
331,12,2,2014,15,49,48,38,20.6,20,20.3
332,12,2,2014,15,49,49,38,20.6,20,20.3
333,12,2,2014,15,49,50,38,20.6,20,20.3
334,12,2,2014,15,49,51,38,20.6,20,20.3
335,12,2,2014,15,49,52,38,20.6,20,20.3
336,12,2,2014,15,49,53,38,20.6,20,20.3
337,12,2,2014,15,49,54,38,20.6,20,20.3
338,12,2,2014,15,49,55,38,20.6,19,20.3
339,12,2,2014,15,49,56,38,20.6,19,20.3
340,12,2,2014,15,49,57,38,20.6,19,20.3
