Sample,Month,Day,Year,Hour,Minute,Second,Loop_L,ambient_L,Loop_R,ambient_R
325,12,12,2014,14,12,4,5537,20.3,5537,20.3
326,12,12,2014,14,12,5,5537,20.3,5537,20.3
327,12,12,2014,14,12,6,5537,20.3,5537,20.3
328,12,12,2014,14,12,7,5537,20.3,5537,20.3
329,12,12,2014,14,12,8,5537,20.3,5537,20.3
330,12,12,2014,14,12,9,5537,20.3,5537,20.3
331,12,12,2014,14,12,10,5537,20.3,5537,20.3
332,12,12,2014,14,12,11,5537,20.3,5537,20.3
333,12,12,2014,14,12,12,5537,20.3,5537,20.3
334,12,12,2014,14,12,13,5537,20.3,5537,20.3
335,12,12,2014,14,12,14,5537,20.3,5537,20.3
336,12,12,2014,14,12,15,5537,20.3,5537,20.3
337,12,12,2014,14,12,16,5537,20.3,5537,20.3
338,12,12,2014,14,12,17,5537,20.3,5537,20.3
339,12,12,2014,14,12,18,5537,20.3,5537,20.3
340,12,12,2014,14,12,19,905,20.3,5537,20.3
341,12,12,2014,14,12,20,1025,20.3,5537,20.3
342,12,12,2014,14,12,21,1025,20.3,5537,20.3
343,12,12,2014,14,12,22,37,20.3,5537,20.3
344,12,12,2014,14,12,23,37,20.3,5537,20.3
345,12,12,2014,14,12,24,37,20.3,5537,20.3
346,12,12,2014,14,12,25,37,20.3,5537,20.3
347,12,12,2014,14,12,26,37,20.3,36,20.3
348,12,12,2014,14,12,27,37,20.3,36,20.3
349,12,12,2014,14,12,28,37,20.3,36,20.3
350,12,12,2014,14,12,29,37,20.3,36,20.3
351,12,12,2014,14,12,30,37,20.3,36,20.3
352,12,12,2014,14,12,31,37,20.3,36,20.3
353,12,12,2014,14,12,32,37,20.3,36,20.3
354,12,12,2014,14,12,33,37,20.3,36,20.3
355,12,12,2014,14,12,34,37,20.3,36,20.3
356,12,12,2014,14,12,35,37,20.3,36,20.3
357,12,12,2014,14,12,36,37,20.3,36,20.3
358,12,12,2014,14,12,37,37,20.3,36,20.3
359,12,12,2014,14,12,38,37,20.3,36,20.3
360,12,12,2014,14,12,40,37,20.3,36,20.3
361,12,12,2014,14,12,41,37,20.3,36,20.3
362,12,12,2014,14,12,42,37,20.3,36,20.3
363,12,12,2014,14,12,43,37,20.3,36,20.3
364,12,12,2014,14,12,44,37,20.3,36,20.3
365,12,12,2014,14,12,45,37,20.3,36,20.3
366,12,12,2014,14,12,46,37,20.3,36,20.3
367,12,12,2014,14,12,47,37,20.3,36,20.3
368,12,12,2014,14,12,48,37,20.3,36,20.3
369,12,12,2014,14,12,49,37,20.3,36,20.3
370,12,12,2014,14,12,50,37,20.3,36,20.3
371,12,12,2014,14,12,51,37,20.3,36,20.3
372,12,12,2014,14,12,52,37,20.3,36,20.3
373,12,12,2014,14,12,53,37,20.3,36,20.3
374,12,12,2014,14,12,54,37,20.3,36,20.3
375,12,12,2014,14,12,55,37,20.3,36,20.3
376,12,12,2014,14,12,56,37,20.3,36,20.3
377,12,12,2014,14,12,57,36,20.3,36,20.3
378,12,12,2014,14,12,58,35,20.3,36,20.3
379,12,12,2014,14,12,59,35,20.3,36,20.3
380,12,12,2014,14,13,0,34,20.3,36,20.3
381,12,12,2014,14,13,1,33,20.3,36,20.3
382,12,12,2014,14,13,2,32,20.3,36,20.3
383,12,12,2014,14,13,3,32,20.3,36,20.3
384,12,12,2014,14,13,4,32,20.3,36,20.3
385,12,12,2014,14,13,5,31,20.3,36,20.3
386,12,12,2014,14,13,6,31,20.3,36,20.3
387,12,12,2014,14,13,7,31,20.3,36,20.3
388,12,12,2014,14,13,8,30,20.3,36,20.3
389,12,12,2014,14,13,9,30,20.3,36,20.3
390,12,12,2014,14,13,10,29,20.3,36,20.3
391,12,12,2014,14,13,11,29,20.3,36,20.3
392,12,12,2014,14,13,12,29,20.3,36,20.3
393,12,12,2014,14,13,13,29,20.3,36,20.3
394,12,12,2014,14,13,14,29,20.3,36,20.3
395,12,12,2014,14,13,15,28,20.3,36,20.3
396,12,12,2014,14,13,16,28,20.3,36,20.3
397,12,12,2014,14,13,17,28,20.3,36,20.3
398,12,12,2014,14,13,18,28,20.3,36,20.3
399,12,12,2014,14,13,19,28,20.3,36,20.3
400,12,12,2014,14,13,20,27,20.3,36,20.3
401,12,12,2014,14,13,21,27,20.3,36,20.3
402,12,12,2014,14,13,22,27,20.3,36,20.3
403,12,12,2014,14,13,23,27,20.3,36,20.3
404,12,12,2014,14,13,24,27,20.3,36,20.3
405,12,12,2014,14,13,25,27,20.3,36,20.3
406,12,12,2014,14,13,26,27,20.3,36,20.3
407,12,12,2014,14,13,27,27,20.3,36,20.3
408,12,12,2014,14,13,28,27,20.3,36,20.3
409,12,12,2014,14,13,29,27,20.3,36,20.3
410,12,12,2014,14,13,30,27,20.3,36,20.3
411,12,12,2014,14,13,31,27,20.3,36,20.3
412,12,12,2014,14,13,32,27,20.3,36,20.3
413,12,12,2014,14,13,33,27,20.3,36,20.3
414,12,12,2014,14,13,34,27,20.3,36,20.3
415,12,12,2014,14,13,35,28,20.3,36,20.3
416,12,12,2014,14,13,36,28,20.3,36,20.3
417,12,12,2014,14,13,37,29,20.3,36,20.3
418,12,12,2014,14,13,38,29,20.3,36,20.3
419,12,12,2014,14,13,39,30,20.3,36,20.3
420,12,12,2014,14,13,40,30,20.3,36,20.3
421,12,12,2014,14,13,41,31,20.3,36,20.3
422,12,12,2014,14,13,42,31,20.3,36,20.3
423,12,12,2014,14,13,43,31,20.3,35,20.3
424,12,12,2014,14,13,44,31,20.3,35,20.3
425,12,12,2014,14,13,45,32,20.3,35,20.3
426,12,12,2014,14,13,46,32,20.3,35,20.3
427,12,12,2014,14,13,47,32,20.3,35,20.3
428,12,12,2014,14,13,48,32,20.3,35,20.3
429,12,12,2014,14,13,49,33,20.3,35,20.3
430,12,12,2014,14,13,50,33,20.3,35,20.3
431,12,12,2014,14,13,51,33,20.3,35,20.3
432,12,12,2014,14,13,53,33,20.3,35,20.3
433,12,12,2014,14,13,54,34,20.3,35,20.3
434,12,12,2014,14,13,55,34,20.3,35,20.3
435,12,12,2014,14,13,56,34,20.3,35,20.3
436,12,12,2014,14,13,57,34,20.3,35,20.3
437,12,12,2014,14,13,58,34,20.3,35,20.3
438,12,12,2014,14,13,59,34,20.3,35,20.3
439,12,12,2014,14,14,0,34,20.3,35,20.3
440,12,12,2014,14,14,1,34,20.3,35,20.3
441,12,12,2014,14,14,2,34,20.3,35,20.3
442,12,12,2014,14,14,3,34,20.3,35,20.3
443,12,12,2014,14,14,4,34,20.3,35,20.3
444,12,12,2014,14,14,5,34,20.3,35,20.3
445,12,12,2014,14,14,6,34,20.3,35,20.3
446,12,12,2014,14,14,7,34,20.3,35,20.3
447,12,12,2014,14,14,8,34,20.3,35,20.3
448,12,12,2014,14,14,9,34,20.3,35,20.3
449,12,12,2014,14,14,10,35,20.3,35,20.3
450,12,12,2014,14,14,11,35,20.3,35,20.3
451,12,12,2014,14,14,12,35,20.3,35,20.3
452,12,12,2014,14,14,13,35,20.3,35,20.3
453,12,12,2014,14,14,14,35,20.3,35,20.3
454,12,12,2014,14,14,15,35,20.3,35,20.3
455,12,12,2014,14,14,16,35,20.3,35,20.3
456,12,12,2014,14,14,17,35,20.3,35,20.3
457,12,12,2014,14,14,18,35,20.3,35,20.3
458,12,12,2014,14,14,19,36,20.3,35,20.3
459,12,12,2014,14,14,20,36,20.3,35,20.3
460,12,12,2014,14,14,21,36,20.3,35,20.3
461,12,12,2014,14,14,22,36,20.3,35,20.3
462,12,12,2014,14,14,23,35,20.3,35,20.3
463,12,12,2014,14,14,24,34,20.3,35,20.3
464,12,12,2014,14,14,25,33,20.3,35,20.3
465,12,12,2014,14,14,26,33,20.3,35,20.3
466,12,12,2014,14,14,27,32,20.3,35,20.3
467,12,12,2014,14,14,28,31,20.3,35,20.3
468,12,12,2014,14,14,29,31,20.3,35,20.3
469,12,12,2014,14,14,30,31,20.3,35,20.3
470,12,12,2014,14,14,31,30,20.3,35,20.3
471,12,12,2014,14,14,32,29,20.3,35,20.3
472,12,12,2014,14,14,33,29,20.3,35,20.3
473,12,12,2014,14,14,34,29,20.3,35,20.3
474,12,12,2014,14,14,35,28,20.3,35,20.3
475,12,12,2014,14,14,36,28,20.3,35,20.3
476,12,12,2014,14,14,37,28,20.3,35,20.3
477,12,12,2014,14,14,38,27,20.3,35,20.3
478,12,12,2014,14,14,39,27,20.3,35,20.3
479,12,12,2014,14,14,40,27,20.3,35,20.3
