Trial,CorrectionTrial,StartTime,CenterReward,F1,F2,F3,F4,HoldTime,Atten,Pitch,Side,Response,RespTime,Correct,noiseAtten,opto,laserOnset,laserOffset,Mask,sessionDate
40,1,662.165,0,460,1105,2857,4205,601,3.3,200,0,8,662.93,1,10,0,-150,100,1,2021-03-11 17:40:00
41,0,702.35,0,730,2058,2857,4205,801,-10.0,200,1,2,703.142,1,10,0,-150,100,1,2021-03-11 17:40:00
42,0,717.179,0,460,1105,2857,4205,1001,-3.3,200,0,8,717.959,1,10,1,-150,100,1,2021-03-11 17:40:00
43,0,727.537,0,460,1105,2857,4205,701,-6.7,200,0,8,728.292,1,10,0,-150,100,1,2021-03-11 17:40:00
44,0,798.601,0,730,2058,2857,4205,1001,-3.3,200,1,2,799.316,1,10,1,-150,100,1,2021-03-11 17:40:00
45,0,809.002,0,460,1105,2857,4205,501,3.3,200,0,2,809.807,0,10,1,-150,100,1,2021-03-11 17:40:00
1,0,29.04,0,460,1105,2857,4205,801,-3.3,200,0,8,29.926,1,10,1,-150,100,1,2021-03-11 12:35:00
2,0,47.226,0,730,2058,2857,4205,1001,0.0,200,1,8,48.089,0,10,1,-150,100,1,2021-03-11 12:35:00
3,1,53.22,0,730,2058,2857,4205,1001,0.0,200,1,8,54.362,0,10,0,-150,100,1,2021-03-11 12:35:00
4,1,58.855,0,730,2058,2857,4205,1001,0.0,200,1,2,60.04,1,10,0,-150,100,1,2021-03-11 12:35:00
5,0,71.489,0,730,2058,2857,4205,701,6.7,200,1,8,73.347,0,10,1,-150,100,1,2021-03-11 12:35:00
6,1,81.489,0,730,2058,2857,4205,701,6.7,200,1,8,83.169,0,10,0,-150,100,1,2021-03-11 12:35:00
7,1,86.9,0,730,2058,2857,4205,701,6.7,200,1,2,88.579,1,10,0,-150,100,1,2021-03-11 12:35:00
8,0,101.192,0,730,2058,2857,4205,501,3.3,200,1,2,102.311,1,10,0,-150,100,1,2021-03-11 12:35:00
9,0,112.894,0,460,1105,2857,4205,901,-6.7,200,0,8,113.973,1,10,0,-150,100,1,2021-03-11 12:35:00
10,0,124.786,0,730,2058,2857,4205,901,10.0,200,1,2,125.677,1,10,0,-150,100,1,2021-03-11 12:35:00
11,0,140.791,0,460,1105,2857,4205,701,10.0,200,0,2,141.915,0,10,1,-150,100,1,2021-03-11 12:35:00
12,1,155.84,0,460,1105,2857,4205,701,10.0,200,0,2,163.22,0,10,0,-150,100,1,2021-03-11 12:35:00
13,1,167.007,0,460,1105,2857,4205,701,10.0,200,0,2,168.517,0,10,0,-150,100,1,2021-03-11 12:35:00
14,1,173.071,0,460,1105,2857,4205,701,10.0,200,0,8,174.453,1,10,0,-150,100,1,2021-03-11 12:35:00
15,0,193.981,0,460,1105,2857,4205,801,-10.0,200,0,2,195.982,0,10,0,-150,100,1,2021-03-11 12:35:00
16,1,203.334,0,460,1105,2857,4205,801,-10.0,200,0,8,204.241,1,10,0,-150,100,1,2021-03-11 12:35:00
17,0,220.002,0,730,2058,2857,4205,601,-3.3,200,1,2,220.884,1,10,0,-150,100,1,2021-03-11 12:35:00
18,0,234.992,0,730,2058,2857,4205,1001,3.3,200,1,2,235.671,1,10,1,-150,100,1,2021-03-11 12:35:00
19,0,248.126,0,460,1105,2857,4205,801,-6.7,200,0,8,248.857,1,10,1,-150,100,1,2021-03-11 12:35:00
20,0,266.99,0,460,1105,2857,4205,1001,6.7,200,0,8,268.256,1,10,1,-150,100,1,2021-03-11 12:35:00
21,0,282.17,0,730,2058,2857,4205,601,-3.3,200,1,2,283.244,1,10,0,-150,100,1,2021-03-11 12:35:00
22,0,300.551,0,460,1105,2857,4205,901,0.0,200,0,8,301.715,1,10,0,-150,100,1,2021-03-11 12:35:00
23,0,333.984,0,460,1105,2857,4205,701,3.3,200,0,8,334.844,1,10,0,-150,100,1,2021-03-11 12:35:00
24,0,344.774,0,730,2058,2857,4205,1001,-10.0,200,1,2,346.355,1,10,1,-150,100,1,2021-03-11 12:35:00
25,0,354.758,0,460,1105,2857,4205,501,-6.7,200,0,8,355.787,1,10,1,-150,100,1,2021-03-11 12:35:00
26,0,371.382,0,460,1105,2857,4205,901,10.0,200,0,2,372.316,0,10,0,-150,100,1,2021-03-11 12:35:00
27,1,379.083,0,460,1105,2857,4205,901,10.0,200,0,8,380.263,1,10,0,-150,100,1,2021-03-11 12:35:00
28,0,393.287,0,730,2058,2857,4205,701,3.3,200,1,2,394.2,1,10,1,-150,100,1,2021-03-11 12:35:00
29,0,404.709,0,730,2058,2857,4205,801,0.0,200,1,2,405.489,1,10,0,-150,100,1,2021-03-11 12:35:00
30,0,415.727,0,730,2058,2857,4205,1001,10.0,200,1,2,416.387,1,10,0,-150,100,1,2021-03-11 12:35:00
31,0,426.899,0,460,1105,2857,4205,501,-10.0,200,0,8,427.697,1,10,0,-150,100,1,2021-03-11 12:35:00
32,0,443.644,0,460,1105,2857,4205,701,-6.7,200,0,8,444.525,1,10,1,-150,100,1,2021-03-11 12:35:00
33,0,456.395,0,730,2058,2857,4205,901,6.7,200,1,2,457.283,1,10,1,-150,100,1,2021-03-11 12:35:00
34,0,467.166,0,460,1105,2857,4205,601,-10.0,200,0,2,468.019,0,10,1,-150,100,1,2021-03-11 12:35:00
35,1,474.323,0,460,1105,2857,4205,601,-10.0,200,0,8,475.638,1,10,0,-150,100,1,2021-03-11 12:35:00
36,0,491.412,0,460,1105,2857,4205,901,6.7,200,0,8,492.722,1,10,0,-150,100,1,2021-03-11 12:35:00
37,0,506.636,0,730,2058,2857,4205,801,-6.7,200,1,2,507.497,1,10,1,-150,100,1,2021-03-11 12:35:00
38,0,518.297,0,730,2058,2857,4205,1001,10.0,200,1,2,519.117,1,10,0,-150,100,1,2021-03-11 12:35:00
39,0,527.841,0,730,2058,2857,4205,601,0.0,200,1,2,528.795,1,10,1,-150,100,1,2021-03-11 12:35:00
