Trial,CenterReward,HoldTime,Atten,Pitch,Response,Correct,treatment,Mask,sessionDate,fNum,method,rxnTime,vowel,vowel_level,SNR
87,0,701,-6.7,200,8,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.818,e,66.7,-3.299999999999997
209,0,901,-6.7,200,8,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.684,e,66.7,-3.299999999999997
21,0,601,-6.7,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.637,u,66.7,-3.299999999999997
131,0,801,-6.7,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.618,u,66.7,-3.299999999999997
97,0,701,-6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.028,u,66.7,-3.299999999999997
32,0,1001,-6.7,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.593,u,66.7,-3.299999999999997
79,0,501,-6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.876,u,66.7,-3.299999999999997
131,0,801,-6.7,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.618,u,66.7,-3.299999999999997
97,0,701,-6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,1.028,u,66.7,-3.299999999999997
162,0,801,-6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.724,u,66.7,-3.299999999999997
43,0,801,-6.7,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.57,u,66.7,-3.299999999999997
87,0,901,-6.7,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.787,u,66.7,-3.299999999999997
213,0,701,-6.7,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,0.839,u,66.7,-3.299999999999997
80,0,701,-6.7,200,8,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.704,u,66.7,-3.299999999999997
162,0,801,-6.7,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.724,u,66.7,-3.299999999999997
92,0,701,-10.0,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.617,e,70.0,0.0
94,0,801,-10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.713,e,70.0,0.0
41,0,801,-10.0,200,2,1,False,Restricted,2021-03-11 17:40:00,1706,opto,0.792,e,70.0,0.0
94,0,801,-10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.713,e,70.0,0.0
41,0,801,-10.0,200,2,1,False,Restricted,2021-03-11 17:40:00,1706,opto,0.792,e,70.0,0.0
74,0,501,-10.0,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.748,e,70.0,0.0
123,0,1001,-10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.829,e,70.0,0.0
61,0,501,-10.0,200,8,0,False,Restricted,2021-03-10 17:56:00,1706,opto,0.563,e,70.0,0.0
74,0,1001,-10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.828,e,70.0,0.0
74,0,501,-10.0,200,2,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.748,e,70.0,0.0
92,0,701,-10.0,200,2,1,False,Restricted,2021-03-10 17:56:00,1706,opto,0.617,e,70.0,0.0
61,0,501,-10.0,200,8,0,False,Restricted,2021-03-10 17:56:00,1706,opto,0.563,e,70.0,0.0
123,0,1001,-10.0,200,2,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.829,e,70.0,0.0
10,0,901,-10.0,200,8,1,False,Restricted,2021-03-11 17:40:00,1706,opto,1.223,u,70.0,0.0
31,0,501,-10.0,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.798,u,70.0,0.0
31,0,501,-10.0,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.798,u,70.0,0.0
124,0,701,-10.0,200,8,1,False,Restricted,2021-03-12 13:15:00,1706,opto,0.622,u,70.0,0.0
15,0,801,-10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,2.001,u,70.0,0.0
15,0,801,-10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,2.001,u,70.0,0.0
7,0,1001,-10.0,200,2,0,False,Restricted,2021-03-12 13:15:00,1706,opto,0.526,u,70.0,0.0
115,0,701,-10.0,200,8,1,False,Restricted,2021-03-11 12:35:00,1706,opto,0.798,u,70.0,0.0
7,0,1001,-10.0,200,2,0,False,Restricted,2021-03-12 13:15:00,1706,opto,0.526,u,70.0,0.0
28,0,1001,-10.0,200,8,1,False,Restricted,2021-03-11 17:40:00,1706,opto,0.775,u,70.0,0.0
61,0,701,-10.0,200,2,0,False,Restricted,2021-03-12 13:15:00,1706,opto,0.466,u,70.0,0.0
15,0,801,-10.0,200,2,0,False,Restricted,2021-03-11 12:35:00,1706,opto,2.001,u,70.0,0.0
7,0,1001,-10.0,200,2,0,False,Restricted,2021-03-12 13:15:00,1706,opto,0.526,u,70.0,0.0
38,0,1001,10.0,200,8,0,True,Restricted,2021-03-12 13:15:00,1706,opto,0.618,e,50.0,-20.0
183,0,901,10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.781,e,50.0,-20.0
183,0,901,10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.781,e,50.0,-20.0
56,0,801,10.0,200,2,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.676,e,50.0,-20.0
86,0,601,10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,1.066,e,50.0,-20.0
183,0,901,10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.781,e,50.0,-20.0
95,0,601,10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.971,e,50.0,-20.0
183,0,901,10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.781,e,50.0,-20.0
56,0,801,10.0,200,2,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.676,e,50.0,-20.0
81,0,1001,10.0,200,2,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.692,e,50.0,-20.0
86,0,601,10.0,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,1.066,e,50.0,-20.0
14,0,1001,10.0,200,8,0,True,Restricted,2021-03-12 13:15:00,1706,opto,0.839,e,50.0,-20.0
10,0,501,10.0,200,2,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.69,e,50.0,-20.0
22,0,901,10.0,200,2,0,True,Restricted,2021-03-10 17:56:00,1706,opto,0.762,u,50.0,-20.0
56,0,801,10.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.802,u,50.0,-20.0
74,0,801,10.0,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.67,u,50.0,-20.0
211,0,601,10.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.871,u,50.0,-20.0
211,0,601,10.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.871,u,50.0,-20.0
11,0,701,10.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.124,u,50.0,-20.0
86,0,701,10.0,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.907,u,50.0,-20.0
108,0,1001,10.0,200,2,0,True,Restricted,2021-03-12 13:15:00,1706,opto,1.16,u,50.0,-20.0
48,0,901,10.0,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.73,u,50.0,-20.0
76,0,501,10.0,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.985,u,50.0,-20.0
11,0,701,10.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.124,u,50.0,-20.0
56,0,801,10.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.802,u,50.0,-20.0
11,0,701,10.0,200,2,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.124,u,50.0,-20.0
20,0,701,6.7,200,2,1,True,Restricted,2021-03-12 13:15:00,1706,opto,0.618,e,53.3,-16.700000000000003
137,0,601,6.7,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.88,e,53.3,-16.700000000000003
5,0,701,6.7,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.858,e,53.3,-16.700000000000003
174,0,601,6.7,200,2,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.691,e,53.3,-16.700000000000003
5,0,701,6.7,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.858,e,53.3,-16.700000000000003
20,0,701,6.7,200,2,1,True,Restricted,2021-03-12 13:15:00,1706,opto,0.618,e,53.3,-16.700000000000003
51,0,901,6.7,200,2,1,True,Restricted,2021-03-12 13:15:00,1706,opto,1.864,e,53.3,-16.700000000000003
137,0,601,6.7,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,0.88,e,53.3,-16.700000000000003
125,0,601,6.7,200,2,1,True,Restricted,2021-03-12 13:15:00,1706,opto,0.607,e,53.3,-16.700000000000003
51,0,901,6.7,200,2,1,True,Restricted,2021-03-12 13:15:00,1706,opto,1.864,e,53.3,-16.700000000000003
125,0,601,6.7,200,2,1,True,Restricted,2021-03-12 13:15:00,1706,opto,0.607,e,53.3,-16.700000000000003
5,0,701,6.7,200,8,0,True,Restricted,2021-03-11 12:35:00,1706,opto,1.858,e,53.3,-16.700000000000003
1,0,501,6.7,200,8,0,True,Restricted,2021-03-12 13:15:00,1706,opto,0.773,e,53.3,-16.700000000000003
52,0,701,6.7,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.851,u,53.3,-16.700000000000003
45,0,901,6.7,200,8,1,True,Restricted,2021-03-12 13:15:00,1706,opto,0.548,u,53.3,-16.700000000000003
45,0,901,6.7,200,8,1,True,Restricted,2021-03-12 13:15:00,1706,opto,0.548,u,53.3,-16.700000000000003
58,0,601,6.7,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.637,u,53.3,-16.700000000000003
52,0,701,6.7,200,8,1,True,Restricted,2021-03-10 17:56:00,1706,opto,0.851,u,53.3,-16.700000000000003
92,0,501,6.7,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.982,u,53.3,-16.700000000000003
92,0,501,6.7,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.982,u,53.3,-16.700000000000003
45,0,901,6.7,200,8,1,True,Restricted,2021-03-12 13:15:00,1706,opto,0.548,u,53.3,-16.700000000000003
92,0,501,6.7,200,8,1,True,Restricted,2021-03-11 12:35:00,1706,opto,0.982,u,53.3,-16.700000000000003
