Mask,treatment,SNR,nTrials,nCorrect,pCorrect,iteration
Restricted,False,-4.0,154,94,61.038961038961034,32
Restricted,False,2.0,154,124,80.51948051948052,32
Restricted,True,-7.0,154,92,59.74025974025974,32
Restricted,True,-4.0,154,96,62.33766233766234,32
Restricted,True,2.0,154,92,59.74025974025974,32
Clean,False,-7.0,154,119,77.27272727272727,33
Clean,False,-4.0,154,123,79.87012987012987,33
Clean,False,2.0,154,125,81.16883116883116,33
Clean,True,-7.0,154,122,79.22077922077922,33
Clean,True,-4.0,154,135,87.66233766233766,33
Clean,True,2.0,154,122,79.22077922077922,33
Restricted,False,-7.0,154,102,66.23376623376623,33
Restricted,False,-4.0,154,107,69.48051948051948,33
Restricted,False,2.0,154,109,70.77922077922078,33
Restricted,True,-7.0,154,96,62.33766233766234,33
Restricted,True,-4.0,154,89,57.7922077922078,33
Restricted,True,2.0,154,103,66.88311688311688,33
Clean,False,-7.0,154,101,65.5844155844156,34
Clean,False,-4.0,154,117,75.97402597402598,34
Clean,False,2.0,154,125,81.16883116883116,34
Clean,True,-7.0,154,130,84.4155844155844,34
Clean,True,-4.0,154,142,92.20779220779221,34
Clean,True,2.0,154,143,92.85714285714286,34
Restricted,False,-7.0,154,108,70.12987012987013,34
Restricted,False,-4.0,154,105,68.18181818181817,34
Restricted,False,2.0,154,99,64.28571428571429,34
Restricted,True,-7.0,154,88,57.14285714285714,34
Restricted,True,-4.0,154,89,57.7922077922078,34
Restricted,True,2.0,154,87,56.493506493506494,34
Clean,False,-7.0,154,120,77.92207792207793,35
Clean,False,-4.0,154,120,77.92207792207793,35
Clean,False,2.0,154,120,77.92207792207793,35
Clean,True,-7.0,154,126,81.81818181818183,35
Clean,True,-4.0,154,136,88.31168831168831,35
Clean,True,2.0,154,128,83.11688311688312,35
Restricted,False,-7.0,154,93,60.3896103896104,35
Restricted,False,-4.0,154,109,70.77922077922078,35
Restricted,False,2.0,154,112,72.72727272727273,35
Restricted,True,-7.0,154,93,60.3896103896104,35
Restricted,True,-4.0,154,88,57.14285714285714,35
Restricted,True,2.0,154,79,51.298701298701296,35
Clean,False,-7.0,154,113,73.37662337662337,36
Clean,False,-4.0,154,126,81.81818181818183,36
Clean,False,2.0,154,126,81.81818181818183,36
Clean,True,-7.0,154,122,79.22077922077922,36
Clean,True,-4.0,154,138,89.6103896103896,36
Clean,True,2.0,154,127,82.46753246753246,36
Restricted,False,-7.0,154,99,64.28571428571429,36
Restricted,False,-4.0,154,113,73.37662337662337,36
Restricted,False,2.0,154,102,66.23376623376623,36
Restricted,True,-7.0,154,91,59.09090909090909,36
Restricted,True,-4.0,154,100,64.93506493506493,36
Restricted,True,2.0,154,92,59.74025974025974,36
Clean,False,-7.0,154,103,66.88311688311688,37
Clean,False,-4.0,154,115,74.67532467532467,37
Clean,False,2.0,154,129,83.76623376623377,37
Clean,True,-7.0,154,123,79.87012987012987,37
Clean,True,-4.0,154,135,87.66233766233766,37
Clean,True,2.0,154,127,82.46753246753246,37
Restricted,False,-7.0,154,98,63.63636363636363,37
Restricted,False,-4.0,154,108,70.12987012987013,37
Restricted,False,2.0,154,118,76.62337662337663,37
Restricted,True,-7.0,154,78,50.649350649350644,37
Restricted,True,-4.0,154,83,53.896103896103895,37
Restricted,True,2.0,154,87,56.493506493506494,37
Clean,False,-7.0,154,106,68.83116883116884,38
Clean,False,-4.0,154,126,81.81818181818183,38
Clean,False,2.0,154,127,82.46753246753246,38
Clean,True,-7.0,154,120,77.92207792207793,38
Clean,True,-4.0,154,141,91.55844155844156,38
Clean,True,2.0,154,120,77.92207792207793,38
Restricted,False,-7.0,154,111,72.07792207792207,38
Restricted,False,-4.0,154,115,74.67532467532467,38
Restricted,False,2.0,154,118,76.62337662337663,38
Restricted,True,-7.0,154,88,57.14285714285714,38
Restricted,True,-4.0,154,98,63.63636363636363,38
Restricted,True,2.0,154,87,56.493506493506494,38
Clean,False,-7.0,154,114,74.02597402597402,39
Clean,False,-4.0,154,117,75.97402597402598,39
Clean,False,2.0,154,114,74.02597402597402,39
Clean,True,-7.0,154,122,79.22077922077922,39
Clean,True,-4.0,154,140,90.9090909090909,39
Clean,True,2.0,154,126,81.81818181818183,39
Restricted,False,-7.0,154,98,63.63636363636363,39
Restricted,False,-4.0,154,100,64.93506493506493,39
Restricted,False,2.0,154,112,72.72727272727273,39
Restricted,True,-7.0,154,92,59.74025974025974,39
Restricted,True,-4.0,154,100,64.93506493506493,39
Restricted,True,2.0,154,90,58.44155844155844,39
Clean,False,-7.0,154,117,75.97402597402598,40
Clean,False,-4.0,154,129,83.76623376623377,40
Clean,False,2.0,154,129,83.76623376623377,40
Clean,True,-7.0,154,126,81.81818181818183,40
Clean,True,-4.0,154,139,90.25974025974025,40
Clean,True,2.0,154,126,81.81818181818183,40
Restricted,False,-7.0,154,111,72.07792207792207,40
Restricted,False,-4.0,154,116,75.32467532467533,40
Restricted,False,2.0,154,115,74.67532467532467,40
Restricted,True,-7.0,154,91,59.09090909090909,40
Restricted,True,-4.0,154,90,58.44155844155844,40
Restricted,True,2.0,154,87,56.493506493506494,40
Clean,False,-7.0,154,109,70.77922077922078,41
Clean,False,-4.0,154,127,82.46753246753246,41
Clean,False,2.0,154,123,79.87012987012987,41
Clean,True,-7.0,154,127,82.46753246753246,41
Clean,True,-4.0,154,142,92.20779220779221,41
Clean,True,2.0,154,117,75.97402597402598,41
Restricted,False,-7.0,154,102,66.23376623376623,41
Restricted,False,-4.0,154,110,71.42857142857143,41
Restricted,False,2.0,154,109,70.77922077922078,41
Restricted,True,-7.0,154,91,59.09090909090909,41
Restricted,True,-4.0,154,100,64.93506493506493,41
Restricted,True,2.0,154,97,62.98701298701299,41
Clean,False,-7.0,154,108,70.12987012987013,42
Clean,False,-4.0,154,101,65.5844155844156,42
Clean,False,2.0,154,122,79.22077922077922,42
Clean,True,-7.0,154,115,74.67532467532467,42
Clean,True,-4.0,154,133,86.36363636363636,42
Clean,True,2.0,154,122,79.22077922077922,42
Restricted,False,-7.0,154,111,72.07792207792207,42
Restricted,False,-4.0,154,107,69.48051948051948,42
Restricted,False,2.0,154,110,71.42857142857143,42
Restricted,True,-7.0,154,91,59.09090909090909,42
Restricted,True,-4.0,154,101,65.5844155844156,42
Restricted,True,2.0,154,97,62.98701298701299,42
Clean,False,-7.0,154,102,66.23376623376623,43
Clean,False,-4.0,154,121,78.57142857142857,43
Clean,False,2.0,154,131,85.06493506493507,43
Clean,True,-7.0,154,124,80.51948051948052,43
Clean,True,-4.0,154,138,89.6103896103896,43
Clean,True,2.0,154,128,83.11688311688312,43
Restricted,False,-7.0,154,104,67.53246753246754,43
Restricted,False,-4.0,154,109,70.77922077922078,43
Restricted,False,2.0,154,108,70.12987012987013,43
Restricted,True,-7.0,154,95,61.68831168831169,43
Restricted,True,-4.0,154,99,64.28571428571429,43
Restricted,True,2.0,154,100,64.93506493506493,43
Clean,False,-7.0,154,119,77.27272727272727,44
