Mask,treatment,rnded_SNR,nTrials,nCorrect,pCorrect,iteration
Restricted,True,2.0,4,2,50.0,28
Clean,False,-7.0,4,3,75.0,29
Clean,False,-4.0,4,3,75.0,29
Clean,False,2.0,4,3,75.0,29
Clean,True,-7.0,4,4,100.0,29
Clean,True,-4.0,4,4,100.0,29
Clean,True,2.0,4,4,100.0,29
Restricted,False,-7.0,4,3,75.0,29
Restricted,False,-4.0,4,3,75.0,29
Restricted,False,-1.0,4,3,75.0,29
Restricted,False,2.0,4,1,25.0,29
Restricted,True,-7.0,4,3,75.0,29
Restricted,True,-4.0,4,2,50.0,29
Restricted,True,-1.0,4,1,25.0,29
Restricted,True,2.0,4,4,100.0,29
Clean,False,-7.0,4,3,75.0,30
Clean,False,-4.0,4,3,75.0,30
Clean,False,2.0,4,3,75.0,30
Clean,True,-7.0,4,4,100.0,30
Clean,True,-4.0,4,4,100.0,30
Clean,True,2.0,4,4,100.0,30
Restricted,False,-7.0,4,1,25.0,30
Restricted,False,-4.0,4,2,50.0,30
Restricted,False,-1.0,4,3,75.0,30
Restricted,False,2.0,4,3,75.0,30
Restricted,True,-7.0,4,3,75.0,30
Restricted,True,-4.0,4,1,25.0,30
Restricted,True,-1.0,4,4,100.0,30
Restricted,True,2.0,4,0,0.0,30
Clean,False,-7.0,4,2,50.0,31
Clean,False,-4.0,4,3,75.0,31
Clean,False,2.0,4,3,75.0,31
Clean,True,-7.0,4,2,50.0,31
Clean,True,-4.0,4,4,100.0,31
Clean,True,2.0,4,3,75.0,31
Restricted,False,-7.0,4,3,75.0,31
Restricted,False,-4.0,4,3,75.0,31
Restricted,False,-1.0,4,3,75.0,31
Restricted,False,2.0,4,4,100.0,31
Restricted,True,-7.0,4,1,25.0,31
Restricted,True,-4.0,4,0,0.0,31
Restricted,True,-1.0,4,2,50.0,31
Restricted,True,2.0,4,2,50.0,31
Clean,False,-7.0,4,4,100.0,32
Clean,False,-4.0,4,3,75.0,32
Clean,False,2.0,4,4,100.0,32
Clean,True,-7.0,4,4,100.0,32
Clean,True,-4.0,4,4,100.0,32
Clean,True,2.0,4,4,100.0,32
Restricted,False,-7.0,4,3,75.0,32
Restricted,False,-4.0,4,2,50.0,32
Restricted,False,-1.0,4,3,75.0,32
Restricted,False,2.0,4,3,75.0,32
Restricted,True,-7.0,4,3,75.0,32
