Mask,treatment,nTrials,nCorrect,pCorrect,iteration
Restricted,False,18,12,66.66666666666666,95
Restricted,True,18,11,61.111111111111114,95
Clean,False,18,17,94.44444444444444,96
Clean,True,18,17,94.44444444444444,96
Restricted,False,18,14,77.77777777777779,96
Restricted,True,18,10,55.55555555555556,96
Clean,False,18,13,72.22222222222221,97
Clean,True,18,15,83.33333333333334,97
Restricted,False,18,16,88.88888888888889,97
Restricted,True,18,9,50.0,97
Clean,False,18,15,83.33333333333334,98
Clean,True,18,15,83.33333333333334,98
Restricted,False,18,15,83.33333333333334,98
Restricted,True,18,7,38.88888888888889,98
Clean,False,18,14,77.77777777777779,99
Clean,True,18,15,83.33333333333334,99
Restricted,False,18,13,72.22222222222221,99
Restricted,True,18,11,61.111111111111114,99
Clean,False,18,13,72.22222222222221,100
Clean,True,18,15,83.33333333333334,100
Restricted,False,18,15,83.33333333333334,100
Restricted,True,18,8,44.44444444444444,100
Clean,False,18,16,88.88888888888889,101
Clean,True,18,12,66.66666666666666,101
Restricted,False,18,11,61.111111111111114,101
Restricted,True,18,8,44.44444444444444,101
Clean,False,18,16,88.88888888888889,102
Clean,True,18,17,94.44444444444444,102
Restricted,False,18,15,83.33333333333334,102
Restricted,True,18,12,66.66666666666666,102
Clean,False,18,16,88.88888888888889,103
Clean,True,18,14,77.77777777777779,103
Restricted,False,18,12,66.66666666666666,103
Restricted,True,18,10,55.55555555555556,103
Clean,False,18,15,83.33333333333334,104
Clean,True,18,17,94.44444444444444,104
Restricted,False,18,13,72.22222222222221,104
Restricted,True,18,8,44.44444444444444,104
Clean,False,18,16,88.88888888888889,105
Clean,True,18,15,83.33333333333334,105
Restricted,False,18,14,77.77777777777779,105
Restricted,True,18,8,44.44444444444444,105
Clean,False,18,16,88.88888888888889,106
Clean,True,18,14,77.77777777777779,106
Restricted,False,18,14,77.77777777777779,106
Restricted,True,18,10,55.55555555555556,106
Clean,False,18,13,72.22222222222221,107
Clean,True,18,14,77.77777777777779,107
Restricted,False,18,13,72.22222222222221,107
Restricted,True,18,9,50.0,107
Clean,False,18,16,88.88888888888889,108
Clean,True,18,16,88.88888888888889,108
Restricted,False,18,14,77.77777777777779,108
Restricted,True,18,8,44.44444444444444,108
Clean,False,18,15,83.33333333333334,109
Clean,True,18,15,83.33333333333334,109
Restricted,False,18,14,77.77777777777779,109
Restricted,True,18,8,44.44444444444444,109
Clean,False,18,15,83.33333333333334,110
Clean,True,18,17,94.44444444444444,110
Restricted,False,18,15,83.33333333333334,110
Restricted,True,18,8,44.44444444444444,110
Clean,False,18,17,94.44444444444444,111
Clean,True,18,13,72.22222222222221,111
Restricted,False,18,15,83.33333333333334,111
Restricted,True,18,7,38.88888888888889,111
Clean,False,18,16,88.88888888888889,112
Clean,True,18,16,88.88888888888889,112
Restricted,False,18,13,72.22222222222221,112
Restricted,True,18,12,66.66666666666666,112
Clean,False,18,15,83.33333333333334,113
Clean,True,18,14,77.77777777777779,113
Restricted,False,18,11,61.111111111111114,113
Restricted,True,18,9,50.0,113
Clean,False,18,16,88.88888888888889,114
Clean,True,18,14,77.77777777777779,114
Restricted,False,18,15,83.33333333333334,114
Restricted,True,18,10,55.55555555555556,114
Clean,False,18,18,100.0,115
Clean,True,18,14,77.77777777777779,115
Restricted,False,18,12,66.66666666666666,115
Restricted,True,18,10,55.55555555555556,115
Clean,False,18,15,83.33333333333334,116
Clean,True,18,15,83.33333333333334,116
Restricted,False,18,13,72.22222222222221,116
Restricted,True,18,13,72.22222222222221,116
Clean,False,18,18,100.0,117
Clean,True,18,15,83.33333333333334,117
Restricted,False,18,15,83.33333333333334,117
Restricted,True,18,8,44.44444444444444,117
Clean,False,18,16,88.88888888888889,118
Clean,True,18,15,83.33333333333334,118
Restricted,False,18,13,72.22222222222221,118
Restricted,True,18,10,55.55555555555556,118
Clean,False,18,13,72.22222222222221,119
Clean,True,18,17,94.44444444444444,119
Restricted,False,18,14,77.77777777777779,119
Restricted,True,18,11,61.111111111111114,119
Clean,False,18,16,88.88888888888889,120
Clean,True,18,14,77.77777777777779,120
Restricted,False,18,13,72.22222222222221,120
Restricted,True,18,8,44.44444444444444,120
Clean,False,18,17,94.44444444444444,121
Clean,True,18,13,72.22222222222221,121
Restricted,False,18,12,66.66666666666666,121
Restricted,True,18,13,72.22222222222221,121
Clean,False,18,13,72.22222222222221,122
Clean,True,18,12,66.66666666666666,122
Restricted,False,18,15,83.33333333333334,122
Restricted,True,18,10,55.55555555555556,122
Clean,False,18,14,77.77777777777779,123
Clean,True,18,15,83.33333333333334,123
Restricted,False,18,14,77.77777777777779,123
Restricted,True,18,11,61.111111111111114,123
Clean,False,18,12,66.66666666666666,124
Clean,True,18,14,77.77777777777779,124
Restricted,False,18,13,72.22222222222221,124
Restricted,True,18,10,55.55555555555556,124
Clean,False,18,15,83.33333333333334,125
Clean,True,18,17,94.44444444444444,125
Restricted,False,18,16,88.88888888888889,125
Restricted,True,18,10,55.55555555555556,125
Clean,False,18,16,88.88888888888889,126
Clean,True,18,15,83.33333333333334,126
Restricted,False,18,15,83.33333333333334,126
Restricted,True,18,9,50.0,126
Clean,False,18,13,72.22222222222221,127
Clean,True,18,16,88.88888888888889,127
Restricted,False,18,14,77.77777777777779,127
Restricted,True,18,10,55.55555555555556,127
Clean,False,18,18,100.0,128
Clean,True,18,15,83.33333333333334,128
Restricted,False,18,13,72.22222222222221,128
Restricted,True,18,6,33.33333333333333,128
Clean,False,18,15,83.33333333333334,129
Clean,True,18,17,94.44444444444444,129
Restricted,False,18,12,66.66666666666666,129
Restricted,True,18,12,66.66666666666666,129
Clean,False,18,16,88.88888888888889,130
Clean,True,18,16,88.88888888888889,130
Restricted,False,18,13,72.22222222222221,130
Restricted,True,18,9,50.0,130
Clean,False,18,16,88.88888888888889,131
Clean,True,18,15,83.33333333333334,131
Restricted,False,18,12,66.66666666666666,131
Restricted,True,18,8,44.44444444444444,131
Clean,False,18,14,77.77777777777779,132
Clean,True,18,15,83.33333333333334,132
Restricted,False,18,13,72.22222222222221,132
Restricted,True,18,11,61.111111111111114,132
Clean,False,18,15,83.33333333333334,133
Clean,True,18,15,83.33333333333334,133
Restricted,False,18,9,50.0,133
Restricted,True,18,11,61.111111111111114,133
Clean,False,18,16,88.88888888888889,134
Clean,True,18,16,88.88888888888889,134
Restricted,False,18,14,77.77777777777779,134
Restricted,True,18,10,55.55555555555556,134
Clean,False,18,16,88.88888888888889,135
Clean,True,18,15,83.33333333333334,135
Restricted,False,18,13,72.22222222222221,135
Restricted,True,18,10,55.55555555555556,135
Clean,False,18,15,83.33333333333334,136
Clean,True,18,16,88.88888888888889,136
Restricted,False,18,12,66.66666666666666,136
Restricted,True,18,10,55.55555555555556,136
Clean,False,18,15,83.33333333333334,137
Clean,True,18,17,94.44444444444444,137
Restricted,False,18,13,72.22222222222221,137
Restricted,True,18,9,50.0,137
Clean,False,18,17,94.44444444444444,138
Clean,True,18,14,77.77777777777779,138
Restricted,False,18,14,77.77777777777779,138
Restricted,True,18,10,55.55555555555556,138
Clean,False,18,16,88.88888888888889,139
Clean,True,18,16,88.88888888888889,139
Restricted,False,18,13,72.22222222222221,139
Restricted,True,18,11,61.111111111111114,139
Clean,False,18,14,77.77777777777779,140
Clean,True,18,14,77.77777777777779,140
Restricted,False,18,11,61.111111111111114,140
Restricted,True,18,12,66.66666666666666,140
Clean,False,18,15,83.33333333333334,141
Clean,True,18,15,83.33333333333334,141
Restricted,False,18,13,72.22222222222221,141
Restricted,True,18,10,55.55555555555556,141
Clean,False,18,13,72.22222222222221,142
Clean,True,18,15,83.33333333333334,142
Restricted,False,18,11,61.111111111111114,142
